pmid	contains_interactions	correct_pairs	curator	set
27434182	yes		Luana	
27445980	no		Luana	
27448983	yes		Luana	
27456665	no		Luana	
27479603	yes		Luana	
27486982	yes		Pablo	
27489114	no		livia	last.dsp.prio
27500235	no		Luana	
27503072	no		Luana	
27517492	yes		Luana	
27517496	yes		Luana	
27524201	yes		Luana	
27542279	No|yes	yes	Nancy Campbell|Luana	last.dsp.prio
27545878	yes		Pablo	
27548616	no		Luana	
27551498	no		Luana	
27559307	yes		Luana	
27566588	yes		Luana	
27571165	yes		Luana	
27582551	yes		Luana	
27590350	yes		Luana	
27597876	no		Pablo	
27598132	no		Luana	
27612385	no		Pablo	
27616981	no		Luana	
27619510	yes		Pablo	
27621415	yes		Livia	last.dsp.prio
27623766	no		Luana	
27626412	Yes		Sandra	last.dsp.prio
27636895	no		Luana	
27641145	yes		Luana	
27686325	no		Luana	
27698945	yes		Luana	
27724964	yes		Luana	
27738385	no		Luana	
27759077	no		Luana	
27765933	yes		Luana	
27782195	yes		Livia	last.dsp.prio
27788246	no		Luana	
27802161	yes		Luana	
27802336	yes		Luana	
27805058	No		Sandra	last.dsp.prio
27824145	No		Sandra	last.dsp.prio
27829229	yes		Luana	
27841353	yes		Luana	
27849571	yes		Luana	
27867358	no		Luana	
27876799	yes		Luana	
27896950	no		Luana	
27897222	no		Pablo	
27902969	no		Luana	
27904655	yes		Luana	
27907189	yes		Luana	
27932493	yes		Luana	
27938392	yes		Luana	
27982078	yes		Luana	
27989102	yes		Luana	
28038685	no		Luana	
28039457	no		Pablo	
28051183	yes		Pablo	
28054986	No		Sandra	last.dsp.prio
28056086	No		Nancy Campbell	last.dsp.prio
28066721	yes		Pablo	
28121484	yes		Luana	
28122643	no		Luana	
28128295	yes	yes	marta|luana	last.dsp.prio
28128332	yes		Luana	
28141831	yes		Luana	
28159912	yes		Luana	
28169360	yes		Luana	
28176834	Yes	yes	Sandra|Luana	last.dsp.prio
28182009	yes		Luana	
28212564	yes	yes	livia|Pablo	last.dsp.prio
28259907	no		Luana	
28286521	yes		Luana	
28325761	no		Luana	
28330493	no		Luana	
28338009	no	yes	mgt|Luana	last.dsp.prio
28373282	no		Luana	
28395174	yes		Luana	
28399880	no		Luana	
28414785	yes		Luana	
28420882	Yes	yes	Livia|Luana	last.dsp.prio
28424452	no		Luana	
28457889	No	yes	Sandra|Luana	last.dsp.prio
28469241	yes		Kalpana	last.dsp.prio
28475649	no		Luana	
28496990	no		Luana	
28507518	No		Sandra	last.dsp.prio
