pmid	contains_interactions	correct_pairs	curator	set
22442688	Yes		Sandra	last.dsp.prio
22444868	no		Pablo	
22457629	yes		Luana	
22479555	yes	no	Simona	
22489132	no	yes	Simona	
22492511	yes		Luana	
22496420	yes		Luana	
22509149	no		Pablo	
22529269	yes	yes	Simona	
22545131	no		Luana	
22567123	yes		Pablo	
22577363	no		Luana	
22580716	no		Luana	
22581777	No		Sandra	last.dsp.prio
22583596	no		Luana	
22619362	no		Pablo	
22662165	no		Pablo	
22662208	No		Sandra	last.dsp.prio
22675463	no		Luana	
22682496	no		Pablo	
22689825	yes	no|yes	Luana	
22708048	no		Luana	
22711529	yes		Pablo	
22723832	yes		Pablo	
22731636	yes		Pablo	
22741534	no		Pablo	
22747601	yes	no	Luana	
22747786	yes		Luana	
22754427	no		Pablo	
22754626	no		Luana	
22762240	no		Pablo	
22762240	no		Luana	
22764087	yes	no	Luana	
22768064	yes		Luana	
22792074	yes	yes|no	livia|Luana	last.dsp.prio
22797943	yes		Luana	
22800433	no	no	Luana	
22812567	no		Pablo	
22848449	yes	no|yes	Luana	
22855535	yes		Luana	
22869599	yes		Pablo	
22876279	yes		Luana	
22879953	yes		Luana	
22888000	no		Luana	
22905201	no		Luana	
22908313	yes		Pablo	
22909087	no		Pablo	
22943793	no		Pablo	
22956765	yes		Luana	
22970174	no		Pablo	
22972948	no		Luana	
22977173	yes	yes|no	Luana	
22984505	yes		Luana	
22984550	no		Pablo	
22986494	no	no	Luana	
23029326	no		Pablo	
23045548	yes	yes|no	Luana	
23056207	no		Luana	
23071688	yes		Livia	last.dsp.prio
23082233	yes		Luana	
23096115	yes		Pablo	
23179371	yes		Luana	
23185455	yes		Luana	
23198089	yes		Luana	
23209281	no		Luana	
23213379	no		Pablo	
23222130	yes	no	Luana	
23223571	yes		Luana	
23235461	yes		Luana	
23236473	yes	no|yes	Luana	
23236489	no		Pablo	
23251783	yes	yes	Luana	
23267329	no		Luana	
23272175	no		Luana	
23284890	no		Luana	
23285096	yes		Luana	
23290522	yes		Luana	
23293603	yes		Luana	
23300710	yes		Pablo	
23300728	no		Luana	
23305486	no	no	Luana	
23324445	no		Pablo	
23326524	no	no	Luana	
23335559	yes		Pablo	
23345592	yes		Luana	
23349666	no		Pablo	
23361462	yes		Luana	
23365679	no		Pablo	
23396447	no		Luana	
23400999	yes	no	Luana	
23408898	no		Pablo	
23409128	no		Luana	
23418049	no		Luana	
23427270	yes		Luana	
23462996	yes	no|yes	Luana	
23468639	yes	yes|no	Luana	
23469178	no		Luana	
23469201	no		Luana	
23505568	no		Luana	
23519116	yes		Luana	
23554170	yes		Luana	
23554628	no		Pablo	
23554785	no		Pablo	
23555257	no		Luana	
23555273	yes		Luana	
23555303	yes		Luana	
23559008	yes		Luana	
23565803	no		Pablo	
23566306	no		Livia	last.dsp.prio
23567335	no	no	Luana	
23575685	yes	no|yes	Luana	
23617958	no		Pablo	
23634218	yes		Luana	
23637832	yes		Luana	
23650557	Yes		Sandra	last.dsp.prio
23671671	no		Pablo	
23685627	yes	yes	Luana	
23690665	no		Pablo	
23691243	no		Pablo	
23708522	no		Luana	
23717538	yes|no-mouse	yes	mgt|luana	last.dsp.prio
23723247	yes	no	Luana	
23724047	yes		Pablo	
23731702	no		Luana	
23733784	yes|no	yes	Sandra|Pablo	last.dsp.prio
23734074	no		Pablo	
23737792	no		Pablo	
23738000	yes		Luana	
23747254	yes	yes	Luana	
23749465	no		Luana	
23750231	no		Pablo	
23751493	yes	no|yes	Luana	
23755918	no		Luana	
23770684	No		Sandra	last.dsp.prio
23785295	no		Luana	
23789104	yes	no	Luana	
23799881	yes		Luana	
23799914	Yes		Sandra	last.dsp.prio
23806657	yes		Pablo	
23819014	yes		Luana	
23825189	yes	yes	Luana	
23825942	no		Pablo	
23841055	No		Prisca	last.dsp.prio
23844208	no		Pablo	
23852044	no		Pablo	
23870279	no		Pablo	
23871147	no		Luana	
23894351	no		Luana	
23900414	no		Pablo	
23902727	no		Pablo	
23919615	no		Luana	
23924897	no		Luana	
23940353	yes		Prisca	last.dsp.prio
23940460	yes		Pablo	
23945166	no	no	Luana	
23949224	yes		Luana	
23950931	no		Luana	
23951545	yes		Pablo	
23974117	no		Luana	
23978163	no		Pablo	
23983009	no		Luana	
23994953	no		Pablo	
23995757	yes		Luana	
23995793	no		Pablo	
24040095	no		Pablo	
24053599	no	no	Luana	
24068928	yes		marta	last.dsp.prio
24079333	no		Pablo	
24086708	no		Pablo	
24096481	no	no	Luana	
24096827	no		Pablo	
24098568	yes	no	Luana	
24113180	no		Pablo	
24124474	no		Pablo	
24136461	no		Luana	
24138815	no		Pablo	
24141787	yes	no	Luana	
24141789	no		Luana	
24143245	yes		Pablo	
24145170	no		Luana	
24176114	no		Luana	
24185641	no		Pablo	
24204564	yes		Pablo	
24206648	no		Luana	
24207123	yes		Luana	
24232453	yes		Luana	
24236052	yes		Luana	
24240690	no		Luana	
24244542	yes		Luana	
24250750	yes		Luana	
24286029	yes	yes	marta	last.dsp.prio
24286034	no		Pablo	
24298274	no	no	Luana	
24302884	yes		Luana	
24312311	no		Pablo	
24349009	yes|no	yes	Sandra|Pablo	last.dsp.prio
24349523	yes		Luana	
24357799	no		Luana	
24359973	No		Sandra	last.dsp.prio
24361124	yes		Pablo	
24371268	yes	no	Luana	
24389026	yes	no	Luana	
24390248	no		Luana	
24391497	yes	yes	Livia|Luana	last.dsp.prio
24392163	yes		Pablo	
24394769	yes		Luana	
24395528	no		Luana	
24404189	yes		Luana	
24411736	yes		Luana	
24416724	no		Luana	
24424410	yes		Luana	
24426774	no		Luana	
24432023	no		Luana	
24441036	no		Luana	
24448360	no		Pablo	
24453954	no		Luana	
24465219	yes		Pablo	
24466240	No		Sandra	last.dsp.prio
24468059	yes		Luana	
24475194	yes		Luana	
24498420	yes	yes	Sandra|Luana	last.dsp.prio
24501689	yes		Livia	last.dsp.prio
24510188	no		Luana	
24510189	yes		Luana	
24523459	no		Luana	
24525567	no		Luana	
24555771	no		Pablo	
24559316	no		Pablo	
24567509	no		Luana	
24584857	yes		Pablo	
24587385	No		Sandra	last.dsp.prio
24595334	yes		Luana	
24599309	no		Pablo	
24614595	yes		Pablo	
24614757	yes		Luana	
24616631	no		Luana	
24623813	no	no	Luana	
24628426	yes		Pablo	
24637012	no		Luana	
24644423	no		Luana	
24646941	no		Luana	
24659245	yes		Luana	
24675768	no		Pablo	
24688304	no		Pablo	
24710573	no		Luana	
24714389	no		Luana	
24718026	no		Pablo	
24726323	yes	yes	Luana	
24727733	no		Pablo	
24732467	no		Luana	
24733347	no		Luana	
24743732	no		Luana	
24782595	no		Pablo	
24786584	yes		Luana	
24790097	yes		Luana	
24796752	no		Pablo	
24804940	yes		Luana	
24819779	no		Luana	
24834072	yes		Pablo	
24843023	yes		Luana	
24844638	yes		Luana	
24849514	no		Pablo	
24877091	Yes	yes	Livia|Luana	last.dsp.prio
24879641	yes		Pablo	
24894704	no		Pablo	
24904622	no		Luana	
24905007	yes	no|yes	Luana	
24911652	no		Pablo	
24919192	yes		Pablo	
24939902	yes		Luana	
24943846	No		Sandra	last.dsp.prio
24944773	no		Pablo	
24949884	no		Luana	
24958351	no		Livia	last.dsp.prio
24960069	no		livia	last.dsp.prio
24966277	yes		Luana	
24967632	no		Luana	
24972069	no		Luana	
24997568	no		Luana	
25002860	no		Luana	
25010983	yes		Luana	
25023518	yes		Pablo	
25029256	yes		Luana	
25029497	yes		Luana	
25051175	yes		Pablo	
25056273	yes		Pablo	
25058650	no		Pablo	
25070343	no		Luana	
25072851	no		Pablo	
25081058	yes	yes|no	Mgt	
25085554	yes		Luana	
25101252	no		Luana	
25107275	yes	no	Mgt|Luana	
25114176	yes	yes	Kalpana	last.dsp.prio
25134527	no		Luana	
25144367	no		Pablo	
25147208	yes		Pablo	
25154395	yes	no	Mgt	
25165884	no		Pablo	
25175916	yes		Luana	
25180771	yes		Luana	
25190493	yes		Luana	
25191528	no		Luana	
25202235	no		Mgt	
25211142	no		Luana	
25217585	yes		Luana	
25221777	no		Pablo	
25223785	yes		Luana	
25237378	no		Luana	
25254342	no		Luana	
25261367	no		Luana	
25291178	no		Luana	
25294809	yes		Pablo	
25296364	no		Luana	
25306110	yes		Pablo	
