pmid	curator	curatable	curator_comment	prot_pairs	ccline_uniprot	noncur_prot	contains_ints_man_check	contains_ints_man_check_comment	imex_publ	imex_pair	GO_IPI_publ	GO_IPI_pair	BioGRID_publ	BioGRID_pair	tm_epmc_publ	tm_epmc_pair	EVEX_publ	EVEX_pair	STRING_textmining_pair	reactome_publ	reactome_pair	OmniPath_interactions_publ	OmniPath_interactions_pair	OmniPath_ptm_publ	OmniPath_ptm_pair	STRING_pi_pair	iid_pred	prot_ac
19091023				A0A024QY88_Q9Y698|A5YAK6_Q9Y698|A5YAK8_Q9Y698|A6MW54_Q9Y698|A6MW55_Q9Y698|A6MW56_Q9Y698|B0FWZ3_Q9Y698|B0FYA7_Q9Y698|B0FYA8_Q9Y698|B0FYA9_Q9Y698|B7Z1D7_Q9Y698|B7Z1E3_Q9Y698|B7Z2I3_Q9Y698|B7Z4H2_Q9Y698|B7Z647_Q9Y698|B9EGL1_Q9Y698|E3SFM9_Q9Y698|E7BSV0_Q9Y698|E9PFD7_Q9Y698|F2YGG7_Q9Y698|F6RJN6_Q9Y698|P00533_Q9Y698|P78352_Q9Y698|Q02297_Q9Y698|Q504U8_Q9Y698|Q6PK61_Q9Y698|Q7RTW3_Q9Y698|Q7RTW5_Q9Y698	no (Q9Y698)	part			no	no	no	no	no	no	no	no	yes	yes	no	no	no	no	no	no	no	no	part	P78352
15674329				A0A024R6U7_A0A087WXV4|A0A024R6U7_B9VVT8|A0A024R6U7_F1D8S2|A0A024R6U7_F1D8T0|A0A024R6U7_F1D8T1|A0A024R6U7_P41235|A0A087WXV4_A0A0S2Z517|A0A087WXV4_B3KQN7|A0A087WXV4_B3KQV4|A0A087WXV4_B4DM06|A0A087WXV4_Q9Y653|A0A0S2Z517_B9VVT8|A0A0S2Z517_F1D8S2|A0A0S2Z517_F1D8T0|A0A0S2Z517_F1D8T1|A0A0S2Z517_P41235|B3KQN7_B9VVT8|B3KQN7_F1D8S2|B3KQN7_F1D8T0|B3KQN7_F1D8T1|B3KQN7_P41235|B3KQV4_B9VVT8|B3KQV4_F1D8S2|B3KQV4_F1D8T0|B3KQV4_F1D8T1|B3KQV4_P41235|B4DM06_B9VVT8|B4DM06_F1D8S2|B4DM06_F1D8T0|B4DM06_F1D8T1|B4DM06_P41235|B9VVT8_Q9Y653|F1D8S2_Q9Y653|F1D8T0_Q9Y653|F1D8T1_Q9Y653|P41235_Q9Y653	no (Q9Y653)	part			no	no	no	no	no	no	no	no	yes	yes	no	no	no	no	no	no	no	no	no	P41235
19144122				A0A024QZJ4_A0A024R1V0|A0A024QZJ4_A0A024R222|A0A024QZJ4_A0A024R280|A0A024QZJ4_P06401|A0A024QZJ4_P07288|A0A024QZJ4_P38398|A0A024QZJ4_P51587|A0A024QZJ4_Q546G3|A0A024QZJ4_Q9Y617|A0A024QZJ6_A0A024R1V0|A0A024QZJ6_A0A024R222|A0A024QZJ6_A0A024R280|A0A024QZJ6_P06401|A0A024QZJ6_P07288|A0A024QZJ6_P38398|A0A024QZJ6_P51587|A0A024QZJ6_Q546G3|A0A024QZJ6_Q9Y617|A0A024R1V0_A0A024R222|A0A024R1V0_A0A024R280|A0A024R1V0_P06401|A0A024R1V0_P07288|A0A024R1V0_P35749|A0A024R1V0_P51587|A0A024R1V0_Q546G3|A0A024R1V0_Q9Y617|A0A024R222_P06401|A0A024R222_P07288|A0A024R222_P35749|A0A024R222_P38398|A0A024R222_P51587|A0A024R222_Q546G3|A0A024R280_P06401|A0A024R280_P07288|A0A024R280_P35749|A0A024R280_P38398|A0A024R280_P51587|A0A024R280_Q546G3|P06401_P07288|P06401_P35749|P06401_P38398|P06401_P51587|P06401_Q546G3|P06401_Q9Y617|P07288_P35749|P07288_P38398|P07288_P51587|P07288_Q9Y617|P35749_P38398|P35749_P51587|P35749_Q546G3|P35749_Q9Y617|P38398_P51587|P38398_Q546G3|P38398_Q9Y617|P51587_Q546G3|P51587_Q9Y617|Q546G3_Q9Y617	no (Q9Y617)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part	P51587
20929569				A0A024R3M4_O15524|A0A024R3M4_Q4JHT5|A0A024RDJ4_O15524|A0A024RDJ4_Q4JHT5|A0A075B7B4_P21580|A0A075B7B4_Q8IUC6|B2RAP9_Q9Y616|B4E359_Q9Y616|O14543_Q15223|O15524_P19838|O15524_P58753|O15524_Q96EQ8|P19838_Q4JHT5|P21580_Q14164|P21580_Q9UHD2|P58753_Q4JHT5|Q14164_Q8IUC6|Q15223_Q6FI39|Q4JHT5_Q96EQ8|Q69FE3_Q9Y616|Q9NWZ3_Q9Y616	no (Q9Y616)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part	O14543
19809574				O14920_Q9Y616|O15111_Q9Y616	no (Q9Y616)	no			no	no	no	no	no	no	no	no	yes	yes	no	no	no	no	no	no	no	no	yes	O15111
21896202				B2RNB2_P35225|D2KUA6_P49419|E9PFX5_P49419|P35225_P78536|P37231_P49419|P49419_Q4W448|P49419_Q9Y5Y4	no (Q9Y5Y4)	part			no	no	no	no	no	no	no	no	yes	yes	no	no	no	no	no	no	no	no	no	P37231
20923576				A0A024R2B5_P04114|A0A024R2B5_Q59HB3|A0A024R2B5_Q7Z7Q0|B4DTR8_P04114|B4DTR8_Q59HB3|B4DTR8_Q7Z7Q0|P04114_Q9Y5X9|Q59HB3_Q9Y5X9|Q7Z7Q0_Q9Y5X9	no (Q9Y5X9)	part			no	no	no	no	no	no	no	no	yes	yes	no	no	no	no	no	no	no	no	no	P04114
20584340				A0A024R9Z9_A0A0S2Z4V5|A0A024R9Z9_O60828|A0A0S2Z4V5_Q86XC4|A0A0S2Z4V5_Q9Y5W8|O60828_Q86XC4|O60828_Q9Y5W8	no (Q9Y5W8)	part			no	no	no	no	no	no	no	no	yes	yes	no	no	no	no	no	no	no	no	no	Q9Y5W8
16762923				B0LPE5_Q86UR1|B3KVH4_Q86UR1|P13498_Q86UR1|P13498_Q8NFA2|P13498_Q9Y5S8|P31749_Q86UR1|Q86UR1_Q8NFA2|Q86UR1_Q9Y5S8|Q8NFA2_Q9Y5S8	no (Q9Y5S8)	part			no	no	no	no	no	no	no	no	yes	part	part	yes	part	no	no	no	no	part	part	P31749
26310573				P37231_Q9UBK2|Q9UBK2_Q9Y5S8	no (Q9Y5S8)	part			no	no	no	no	no	no	yes	yes	no	no	part	no	no	no	no	no	no	part	part	P37231
25966993				P17861_Q9Y5J5|P18850_Q9Y5J5|P31749_Q9Y5J5|P35568_Q9Y5J5|Q00059_Q9Y5J5	no (Q9Y5J5)	no			no	no	no	no	no	no	yes	yes	no	no	no	no	no	no	no	no	no	no	part	P31749
25966993				P17861_Q9Y5J5|P18850_Q9Y5J5|P31749_Q9Y5J5|P35568_Q9Y5J5|Q00059_Q9Y5J5	no (Q9Y5J5)	no			no	no	no	no	no	no	yes	yes	no	no	no	no	no	no	no	no	no	no	part	P35568
22569073				Q6UXH0_Q9Y5C1	no (Q9Y5C1)	no			no	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	no	no	Q9Y5C1
24960069				Q6UXH0_Q9Y5C1	no (Q9Y5C1)	no			no	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	no	no	Q9Y5C1
17688695				A0A0A0MQU4_P11387|A0A0A0MQU4_Q9BVT2|B4DDP9_P11387|B4DDP9_Q9BVT2|P11387_Q59FK2|P11387_Q96I15|P11387_Q9Y573|Q59FK2_Q9BVT2|Q96I15_Q9BVT2|Q9BVT2_Q9Y573	no (Q9Y573)	part			no	no	no	no	no	no	no	no	yes	yes	no	no	no	no	no	no	no	no	no	P11387
21217644				A6NHU9_H9KV90|A6NHU9_Q9BYB0|A6NHU9_Q9Y566|B7Z4H2_Q5U5K4|B7Z4H2_Q86YM7|B7Z647_Q5U5K4|B7Z647_Q86YM7|B9EGL1_Q5U5K4|B9EGL1_Q86YM7|C0SPH0_H9KV90|C0SPH0_Q9BYB0|C0SPH0_Q9Y566|H9KV90_Q9BYB0|H9KV90_Q9UPX8|P78352_Q5U5K4|P78352_Q86YM7|Q9BYB0_Q9UPX8|Q9BYB0_Q9Y566|Q9UPX8_Q9Y566	no (Q9Y566)	part			no	no	no	no	no	no	no	no	yes	yes	no	no	no	no	no	no	no	no	part	P78352
25333250				P49841_Q9Y4E6	no (Q9Y4E6)	yes			no	no	no	no	no	no	yes	yes	no	no	no	no	no	no	no	no	no	no	no	P49841
9722511				A0A024R517_A0A024R728|A0A024R517_A0A024R759|A0A024R517_B4DLF5|A0A024R517_E6Y365|A0A024R517_P08581|A0A024R728_Q9Y4D2|A0A024R759_Q9Y4D2|B4DLF5_Q9Y4D2|E6Y365_Q9Y4D2|P08581_Q9Y4D2	no (Q9Y4D2)	yes			no	no	no	no	no	no	no	no	yes	yes	no	no	no	no	no	no	no	no	no	P08581
23213445				P15529_P15692|P15529_P40337|P15529_Q99814|P15692_Q9Y466|P40337_Q99814|P40337_Q9Y466|Q99814_Q9Y466	no (Q9Y466)	part			no	no	no	no	no	no	yes	yes	no	no	part	no	no	no	no	no	no	part	part	P15692
24386080				P00749_P17936|P05019_P17936|P17936_P50281|P17936_Q03405|P17936_Q9Y450	no (Q9Y450)	no			no	no	no	no	no	no	yes	yes	no	no	part	no	no	no	no	no	no	part	part	Q9Y450
