pmid	curator	curatable	curator_comment	prot_pairs	ccline_uniprot	noncur_prot	contains_ints_man_check	contains_ints_man_check_comment	imex_publ	imex_pair	GO_IPI_publ	GO_IPI_pair	BioGRID_publ	BioGRID_pair	tm_epmc_publ	tm_epmc_pair	EVEX_publ	EVEX_pair	STRING_textmining_pair	reactome_publ	reactome_pair	OmniPath_interactions_publ	OmniPath_interactions_pair	OmniPath_ptm_publ	OmniPath_ptm_pair	STRING_pi_pair	iid_pred	prot_ac
20332121				A0A024R1V0_Q9UBU8|H3BN63_Q9UBU8|O75182_Q15014|O75182_Q9UBU8|P38398_Q9UBU8|P50120_Q15014|P50120_Q9UBU8|P51587_Q86YC2|P51587_Q9UBU8|Q06609_Q86YC2|Q06609_Q9UBU8|Q13547_Q15014|Q13547_Q9UBU8|Q15014_Q16576|Q15014_Q16777|Q15014_Q16778|Q15014_Q52LR7|Q15014_Q86YC2|Q15014_Q92769|Q15014_Q92993|Q15014_Q96L91|Q15014_Q96QT6|Q15014_Q9H0E9|Q15014_Q9H2F5|Q15014_Q9NV56|Q15014_Q9Y230|Q15014_Q9Y265|Q15014_Q9Y4A5|Q16576_Q9UBU8|Q16777_Q9UBU8|Q16778_Q9UBU8|Q52LR7_Q9UBU8|Q86YC2_Q9UBU8|Q92769_Q9UBU8|Q92993_Q9UBU8|Q96L91_Q9UBU8|Q96QT6_Q9UBU8|Q9H0E9_Q9UBU8|Q9H2F5_Q9UBU8|Q9NV56_Q9UBU8|Q9UBU8_Q9Y230|Q9UBU8_Q9Y265|Q9UBU8_Q9Y4A5	no (P50120,Q16777,Q52LR7)	part			no	no	yes	part	yes	part	no	no	yes	part	part	no	no	no	no	no	no	part	part	Q92993
10428834				O75798_P17096|P05412_P17096|P07305_P49788|P10276_P17096|P13631_P17096|P17096_P19793|P17096_P37231|P17096_P54136|P17096_Q92793|P54136_Q5T6U8	no (P49788)	part			no	no	yes	part	yes	part	no	no	yes	part	part	no	no	no	no	no	no	no	part	P37231
23277564				P11021_Q9GZX7|P18669_Q9GZX7|P27694_Q9GZX7|P30153_Q9GZX7|P39748_Q9GZX7|P41214_Q9GZX7|P52272_Q9GZX7|P61077_Q9BV68|P62837_Q9BV68|P63261_Q9GZX7|P68036_Q9GZX7|P68104_Q9GZX7|Q06609_Q9GZX7|Q13151_Q9GZX7|Q14498_Q9GZX7|Q14974_Q9GZX7|Q15038_Q9GZX7|Q5VY09_Q9GZX7|Q7LG56_Q9GZX7|Q8N1F7_Q9GZX7|Q8NF64_Q9GZX7|Q8WYA6_Q9GZX7|Q99832_Q9GZX7|Q9BSE4_Q9GZX7|Q9BV68_Q9GZX7|Q9GZX7_Q9GZX7|Q9GZX7_Q9H0D6|Q9GZX7_Q9H6D7|Q9GZX7_Q9NR30|Q9GZX7_Q9UKF6|Q9GZX7_Q9UMR2|Q9GZX7_Q9Y3I0	no (P41214,Q13151,Q8N1F7,Q9UKF6)	no			no	no	yes	part	yes	yes	no	no	no	no	part	no	no	no	no	no	no	no	part	P68036
20027304				A0A024QZQ1_A1L4K2|A0A024QZQ1_D7R525|A0A024QZQ1_D7R526|A0A024QZQ1_P36969|A0A024QZQ1_P45983|A0A024QZQ1_P45984|A0A024QZQ1_P49841|A0A024QZQ1_Q6FI27|A0A024QZQ1_Q6PI42|A1L4K2_A8K128|A1L4K2_B0QZ35|A1L4K2_E9PC49|A1L4K2_Q96EB6|A8K128_D7R525|A8K128_D7R526|A8K128_P36969|A8K128_P45983|A8K128_P45984|A8K128_P49841|A8K128_Q6FI27|A8K128_Q6PI42|B0QZ35_D7R525|B0QZ35_D7R526|B0QZ35_P36969|B0QZ35_P45983|B0QZ35_P45984|B0QZ35_P49841|B0QZ35_Q6FI27|B0QZ35_Q6PI42|D7R525_E9PC49|D7R525_Q96EB6|D7R526_E9PC49|D7R526_Q96EB6|E9PC49_P36969|E9PC49_P45983|E9PC49_P45984|E9PC49_P49841|E9PC49_Q6FI27|E9PC49_Q6PI42|P36969_Q96EB6|P45983_Q96EB6|P45984_Q96EB6|P49841_Q96EB6|Q13627_Q96EB6|Q6FI27_Q96EB6|Q6PI42_Q96EB6|Q96EB6_Q9UBK2	no (P36969)	part			no	no	yes	part	yes	part	yes	part	yes	part	part	no	no	no	no	yes	part	part	part	P49841
21625540				A0A0A0MS38_P34932|A0A0A0MS38_Q99933|A0A0A0MS38_Q9UNE7|A0A0S2Z4L5_Q9UNE7|B4E0X2_Q9UNE7|C9JQV6_P34932|C9JQV6_Q99933|C9JQV6_Q9UNE7|L7RRS6_Q9UNE7|P04049_Q9UNE7|P25686_P25686|P25686_P34932|P25686_P54252|P25686_Q15386|P34932_P54252|P54252_Q99933|P54252_Q9UNE7|P61077_Q9UNE7	no (P25686)	part			no	no	yes	part	yes	part	no	no	yes	part	part	no	no	no	no	no	no	no	part	P04049
15936278				P04049_Q9UNE7|P0CG48_P25686|P11142_P25686|P25686_P60900|P25686_P62979|P25686_P62987|P62837_Q9UNE7	no (P25686)	no			no	no	yes	part	yes	part	no	no	no	no	part	no	no	no	no	no	no	no	part	P04049
19233132				P09917_P20292|P09917_Q16873|P20292_Q16873|Q16873_Q16873	no (P20292)	no			no	no	yes	part	yes	yes	no	no	no	no	part	no	no	no	no	no	no	part	part	P09917
8491186				A0A024R499_P19957|A0A024R499_P29353|B7Z2I3_P19957|E7BSV0_P19957|E9PFD7_P19957|F2YGG7_P19957|P00533_P19957|P19957_P29353|P19957_P35568|P19957_Q504U8|P29353_P35568|P29353_P62993|P35568_P62993	no (P19957)	part			yes	part	yes	part	yes	part	no	no	yes	part	part	no	no	no	no	no	no	part	part	P35568
11285285				A0A024R629_A0A024R730|A0A024R629_O14745|A0A024R629_P05362|A0A024R629_P13569|A0A024R629_P16070|A0A024R629_Q15599|A0A024R730_O14745|A0A024R730_P05362|A0A024R730_P07550|A0A024R730_P16070|A0A024R730_P16150|A0A024R730_Q15599|A0A1U9X8L0_A7E244|A0A1U9X8L0_B7ZVY9|A0A1U9X8L0_Q9BXI6|A7E244_O14745|A7E244_P16070|A7E244_P20936|A7E244_Q15599|A7E244_Q59GK3|A7E244_Q68EM7|A7E244_Q96PV0|A7E244_Q9Y6Q1|B7ZVY9_O14745|B7ZVY9_P16070|B7ZVY9_P20936|B7ZVY9_Q15599|B7ZVY9_Q59GK3|B7ZVY9_Q68EM7|B7ZVY9_Q96PV0|B7ZVY9_Q9Y6Q1|O14745_O43915|O14745_P05362|O14745_P08727|O14745_P13569|O14745_P15311|O14745_P16070|O14745_P16150|O14745_P42685|O14745_Q01970|O14745_Q15599|O14745_Q68EM7|O14745_Q9BXI6|O14745_Q9Y6Q1|P05362_P13569|P05362_P16070|P05362_P16150|P05362_Q15599|P07550_P13569|P07550_P48764|P08727_Q15599|P13569_P16070|P13569_P16150|P13569_Q15599|P15311_P15311|P15311_Q01970|P15311_Q9BXI6|P15311_Q9Y6Q1|P16070_P16150|P16070_Q15599|P16070_Q9BXI6|P16150_Q15599|P20936_Q9BXI6|Q15599_Q9BXI6|Q59GK3_Q9BXI6|Q68EM7_Q9BXI6|Q68EM7_Q9Y6Q1|Q96PV0_Q9BXI6|Q9BXI6_Q9Y6Q1	no (P16150,Q9Y6Q1)	part			yes	part	yes	part	yes	part	no	no	yes	part	part	no	no	no	no	no	no	part	part	P42685
9278415				P02751_P23142|P14543_P14543|P14543_P23142|P23142_P23142	no (P14543)	no			no	no	yes	part	yes	part	no	no	no	no	part	no	no	no	no	no	no	no	part	P02751
24076655				O94888_P0CG48|O94888_Q15843|O95376_O95376|O95376_P68036|O95376_Q15369|O95376_Q15370|O95376_Q15843|O95376_Q93034|O95376_Q9UBF6|P02686_Q93034|P02686_Q9UBF6|P13727_Q93034|P13727_Q9UBF6|P24864_Q9Y4X5|P46527_Q9Y4X5|P62877_Q9Y4X5|P68036_Q15843|P68036_Q93034|P68036_Q9UBF6|P68036_Q9Y4X5|Q06587_Q92506|Q13616_Q15843|Q13616_Q9UBF6|Q13616_Q9Y4X5|Q13617_Q15369|Q13617_Q15370|Q13617_Q9Y4X5|Q13618_Q9Y4X5|Q13619_Q9Y4X5|Q15369_Q93034|Q15370_Q93034|Q15843_Q93034|Q15843_Q969M7|Q15843_Q9UBF6|Q15843_Q9Y4X5|Q92506_Q9Y4X5|Q93034_Q9UBF6|Q93034_Q9Y4X5|Q9Y4X5_Q9Y4X5	no (P13727,Q92506,Q969M7)	no			yes	part	yes	part	yes	part	yes	part	no	no	part	no	no	no	no	no	no	part	part	P68036
