pair_id_clean	pubid	EBI_GOA_nonIntAct
Q02447_Q13547	12176973	1
Q02447_Q92769	12176973	1
P15924_Q02487	21062920	1
P25791_Q02577	16314316	1
P01286_Q02643	1333056	1
P01286_Q02643	7680413	1
P18509_Q02643	7680413	1
Q02742_Q9H4A6	23027862	1
Q02750_Q96RU7	15299019	1
Q02763_Q15389	8980223	1
O15123_Q02763	19922791	1
Q02763_Q15389	19922791	1
P23467_Q02763	19451274	1
P15923_Q02779	19801649	1
Q02790_Q92990	12604780	1
P07900_Q02790	9660753	1
Q02817_Q9Y6R7	19432394	1
O95994_Q02817	19359471	1
O15162_Q02880	17567603	1
P11388_Q02880	10473615	1
Q02880_Q05655	16611985	1
Q02880_Q13547	11136718	1
P04637_Q02880	10666337	1
Q02880_Q13547	11062478	1
Q02880_Q92769	11062478	1
P15336_Q02930	8440710	1
P05412_Q02930	8440710	1
O43306_Q02952	17081159	1
Q02952_Q8NFM4	17081159	1
Q02962_Q04727	24676634	1
P19544_Q02962	9178767	1
Q02962_Q9H6Z9	21575608	1
P16144_Q03001	11375975	1
Q03001_Q96RT1	11375975	1
P16144_Q03001	12482924	1
Q03001_Q9UMD9	12482924	1
Q03001_Q15691	19632184	1
P35609_Q03001	19932097	1
Q03001_Q15149	19932097	1
Q03013_Q03013	8373352	1
P23769_Q03014	15016828	1
P23771_Q03014	15016828	1
Q03014_Q92908	15016828	1
P29590_Q03014	10597310	1
P67870_Q03014	19324893	1
P25788_Q03014	12826010	1
Q03014_Q03014	16540119	1
P49427_Q03060	10373550	1
P84022_Q03112	15897867	1
Q03112_Q13363	15897867	1
Q03112_Q13363	11568182	1
Q03112_Q92793	11568182	1
Q03112_Q92831	11568182	1
P45983_Q03112	10856240	1
O15085_Q03113	10026210	1
Q03135_Q13873	15657086	1
O75581_Q03135	16890161	1
P27487_Q03135	17287217	1
P12931_Q03135	25006397	1
Q03135_Q03135	25006397	1
P35354_Q03135	24089527	1
P55072_Q03135	24089527	1
P48995_Q03135	19052258	1
Q03135_Q14573	19052258	1
Q03135_Q13021	11294831	1
Q03135_Q12791	15703204	1
Q03135_Q15049	19931615	1
P29474_Q03135	12852865	1
Q03135_Q16647	20122998	1
Q03135_Q12809	18923542	1
P25116_Q03135	17848177	1
Q03135_Q63HR2	16951145	1
Q03135_Q96QB1	16951145	1
P36897_Q03135	25893292	1
O00255_Q03164	15199122	1
Q03164_Q9UBL3	19187761	1
Q03164_Q15291	19187761	1
Q03164_Q9H7Z6	15960975	1
P61964_Q03164	19556245	1
Q03164_Q9UNP9	11313484	1
P32121_Q03167	12958365	1
P12643_Q03167	18184661	1
P18075_Q03167	18184661	1
P61812_Q03167	11157754	1
P01137_Q03167	10746731	1
P05111_Q03167	10746731	1
P42224_Q03181	26504087	1
P08246_Q03405	14688365	1
P01042_Q03405	11290596	1
O60687_Q03405	18718938	1
Q03405_Q92673	14764453	1
P28715_Q03468	8652557	1
P04637_Q03468	7663514	1
Q03468_Q2YD98	22466612	1
P09874_Q03468	16107709	1
Q03468_Q13216	7664335	1
P23025_Q03468	8999876	1
P29084_Q03468	8999876	1
Q03468_Q9HCS7	10944529	1
P28715_Q03468	16246722	1
P30511_Q03518	10605026	1
O15533_Q03518	18802093	1
P61769_Q03518	18802093	1
Q03518_Q03519	18802093	1
Q03518_Q96DN0	18802093	1
Q03518_Q03519	1538751	1
Q03518_Q03519	15518576	1
P30511_Q03519	10605026	1
Q04206_Q7Z4G1	16573520	1
Q04206_Q96EY1	15601829	1
O60885_Q04206	19103749	1
P25963_Q04206	7739562	1
Q04206_Q9HCU9	17000776	1
Q04206_Q9UNL4	15029197	1
O43707_Q04206	25411248	1
Q04206_Q6IT96	11931769	1
Q04206_Q08117	10660609	1
