pair_id_clean	pubid	GO_IPI
A0A0H3NDF5_A0A0H3NDL6	20140193	1
A0A0H3NDL6_P22059	21566117	1
A0A0H3NF38_O43684	21566117	1
A0A0H3NF38_Q9Y2Z0	21566117	1
A0A0H3NF38_Q9SUR9	23935490	1
A0A0H3NF38_Q9SUT5	23935490	1
A0A0H3NF38_Q9Y239	23935490	1
A0A0H3NF38_Q9Y2Z0	23935490	1
A0A0H3NHZ2_A0A0H3NVJ7	23302685	1
A0A0H3NI89_A0A0H3NKV1	21059960	1
A0A0H3NK16_A0A0H3NUZ2	21472855	1
A0A0H3NKV4_A0A0H3NPR5	19767440	1
A0A0H3NMJ6_Q6R5P0	23101627	1
A0A0H3NMJ6_Q9JLF7	23101627	1
A0A0H5BJW1_Q9YGY0	27098453	1
A0A140N890_A0A140N890	26555188	1
A0A142I9X8_F1M4A4	23245325	1
A0A8M2_P54824	17074753	1
A0A8M2_P21574	17074753	1
A0A8M2_Q8AV13	17074753	1
A0AEF5_W5IDC3	25896019	1
A0FDS8_E0WI15	18178731	1
A0FDS8_E0WIF7	18178731	1
A0MPS7_P06400	1331501	1
A0QP85_A0QP85	21972977	1
A0R2N3_A0R3R7	21637345	1
A0R2N3_A0R3S7	21637345	1
A0R561_P60281	19596241	1
A0SNQ7_P26233	17431396	1
A0SNQ7_P70062	17431396	1
A1A766_Q9NZJ4	19208651	1
A1C3L5_Q7WUF6	21965576	1
A1C3L7_Q7WUF6	21965576	1
A1C3L7_Q7WWK0	21965576	1
A1C3L9_A1C3M0	18083807	1
A1IMH9_B6UQB6	19454334	1
A1IMH9_B6UQB7	19454334	1
A1IMH9_E3P8T4	19454334	1
A1IMH9_E3P8T5	19454334	1
A1IMH9_Q5QSL2	19454334	1
A1JTB0_A1JTB1	19114483	1
A1L3G9_Q66KV4	19167377	1
A1L3G9_Q6NTS2	19167377	1
A1L3G9_P52301	25946333	1
A1L3K9_Q6IRB2	10976052	1
A1L3K9_Q90Z12	10976052	1
A1S3N8_P01317	21749650	1
A1YH68_P46116	25009246	1
A1Z651_A1Z651	22804908	1
A2CIR7_Q2QXL0	24919709	1
A2CIR7_Q69T21	24919709	1
A2CIR7_Q6F2N0	24919709	1
A2CIR7_Q6H434	24919709	1
A2T2X4_Q9FPW0	20435895	1
A2T2X4_Q946G4	20435895	1
A2T3M4_P13481	23576507	1
A2T3M4_Q7Z434	24643253	1
A2ZCS6_R9RU01	25024433	1
A2ZCS6_A2ZCS6	25024433	1
A3DPQ3_A3DPQ3	23279902	1
A4D8X6_Q53GL7	22176891	1
A4F2K9_Q86BW2	17376595	1
A4GRE3_P04233	17567581	1
A4NBN9_P04004	26538390	1
A5H447_Q91898	18297730	1
A5HNV6_P50244	17485680	1
A5J090_P51142	17476309	1
A5K5E5_P02730	26823170	1
A5PKP9_Q7T2V3	18021256	1
A5TZK3_A5TZK3	20178790	1
A5TZK3_A5TZK3	22306117	1
A5U0E5_A5U0E5	19820095	1
A5U7B6_A5U7B7	16416128	1
A6MW92_Q5MP56	18466309	1
A6Q0K5_P19824	24863370	1
A6Q0K5_P50362	24863370	1
A6QIR4_P0C7B4	17933891	1
A7GBG3_P63027	22172278	1
A7LH49_B5X4X0	25379383	1
A7LH49_B9UYM8	25379383	1
A7LH49_S5R2L7	25379383	1
A7TJH8_P16892	23953117	1
A7TR32_A7TR32	21784247	1
A7Y3Z3_Q96SB4	17360743	1
A8CSJ8_Q3KSS3	17446270	1
A8D8P8_H9JD76	23970546	1
A8D8P8_H9JD76	26919431	1
A8HN58_B8LIX8	21505417	1
A8I3X6_P05434	7579689	1
A8I4E9_M1V4Y8	23569216	1
A8I5C3_A8JDN3	7579689	1
A8IBS2_A8JH45	23864713	1
A8IBS2_Q7XA07	23864713	1
A8ICS9_A8J6X7	20421426	1
A8IPZ5_A8JF70	23747306	1
A8IPZ5_P27766	23747306	1
A8IPZ5_Q39578	23747306	1
A8ISA6_P05434	7579689	1
A8IV22_P05434	7579689	1
A8J1Z6_Q6RBZ0	23068615	1
A8J666_A8J6X7	20421426	1
A8J6X7_D4P3R7	20421426	1
A8JDN3_Q4AC22	7579689	1
A8JDN3_Q9SMH5	7579689	1
A8KBF3_Q7ZYV9	19713941	1
A8KBF3_Q90WE3	19713941	1
A8KBF3_Q98SP8	19713941	1
A8NRB3_A8NRB3	23711369	1
A8UKE6_Q8WWL7	12185076	1
A8VZX9_A8VZX9	18952790	1
A8YQR4_Q6EE19	17986187	1
A9CGF9_Q7CUN4	19395482	1
A9CIM3_A9CIM3	24931117	1
A9CQL4_A9CQL4	21277013	1
A9ZSZ2_H9JD76	23970546	1
B0S4R3_C0H8U1	20702795	1
B0S4R3_C0PUF8	20702795	1
B0S4R4_C0H8U1	20702795	1
B0S4R4_C0PUF8	20702795	1
B0SR19_B0SR19	25186729	1
B1P758_Q8JNK2	18632977	1
B1PVV8_Q04967	25827528	1
B1PVV8_Q0PY11	26266418	1
B1Q2W9_P06748	24462683	1
B1VZT1_B1VZT1	22101842	1
B2BDZ7_Q93Q04	21097617	1
B2BUF1_O14646	22419161	1
B2BUF1_Q8N7H5	22419161	1
B2C7Y6_P03586	18267075	1
B2C7Y6_Q40392	18267075	1
B2KNI9_B5X2E7	21990356	1
B2MVQ1_Q0GXS4	25794934	1
B2Z449_B2Z449	23648289	1
B3SRQ2_B5X2E7	21990356	1
B3STP1_R0MLT0	25605761	1
B4EMD1_B4EMD1	24916958	1
B4FX20_B4FX20	19450586	1
B4LTG5_P52293	25283549	1
B4URF5_P12004	21994455	1
B4URF5_P17844	21994455	1
B4URF5_P49848	21994455	1
B4URF7_P12004	21994455	1
B4URF7_P15104	21994455	1
B4URF7_P52294	21994455	1
B4URF7_P59910	21994455	1
B4ZIX8_Q1XG42	16682347	1
B4ZIX8_Q1XG44	16682347	1
B5MFE9_P98070	18775317	1
B5MFE9_Q91713	18775317	1
B5MFE9_B5MFE9	18775317	1
B5TR11_P28021	22193776	1
B5X3E8_B5X4X0	25379383	1
B5X3E8_B9UYM8	25379383	1
B5X3E8_S5R2L7	25379383	1
B5X4X0_B9UYM8	25379383	1
B2KNI9_B5XBN4	21990356	1
B3SRQ2_B5XBN4	21990356	1
B5Z6G7_B5Z6G7	20644138	1
B5Z6S0_O43318	19820695	1
B2KNI9_B6CBU8	21990356	1
B3SRQ2_B6CBU8	21990356	1
B6GVA2_Q41341	19036844	1
B6GVA2_Q41342	19036844	1
B6RLL0_B6UQB6	19454334	1
B6RLL0_B6UQB7	19454334	1
B6RLL0_E3P8T4	19454334	1
B6RLL0_E3P8T5	19454334	1
B6RLL0_Q5QSL2	19454334	1
B6RLL1_B6UQB6	19454334	1
B6RLL1_B6UQB7	19454334	1
B6RLL1_E3P8T4	19454334	1
B6RLL1_E3P8T5	19454334	1
B6RLL1_Q5QSL2	19454334	1
B7F924_Q9FDY4	22353606	1
B7F924_Q75HA6	24919709	1
B7UGF2_B7UMA3	21804003	1
B7UGF2_B7UMA6	21804003	1
B7UM88_Q9Y5X1	16585770	1
B7UM90_O52142	22923600	1
B7UM93_B7UM94	21498649	1
B7UM93_Q05129	21498649	1
B7UM99_P21244	10510232	1
B7UM99_P21244	12904549	1
B7UM99_Q14247	19419567	1
B7UM99_P29350	23001144	1
B7UM99_P29351	23001144	1
B7UMA3_B7UMA6	21804003	1
B7UMA5_B7UMB3	22447907	1
B7UMB8_O52142	22923600	1
B7UTD6_B7UTD7	15866879	1
B7UTD6_B7UTD6	15866879	1
B7ZQA9_P70062	17541407	1
B7ZQA9_P87377	17541407	1
B7ZQJ9_Q7T103	18922797	1
B7ZQJ9_P70056	11937490	1
B7ZQJ9_Q62432	11937490	1
B7ZQJ9_Q8BUN5	11937490	1
B7ZR20_Q6P5F9	26673895	1
B7ZR30_P70032	9831560	1
B7ZR65_O57686	16256735	1
B7ZR65_P63282	16256735	1
B7ZS92_Q9DE14	16530042	1
B8AL97_B8AL97	27064905	1
B8BF91_Q1MX30	20118235	1
B8YNY4_Q8VLY7	20435733	1
B9ICN7_B9ICN7	25455804	1
B9UYM8_C7EY83	25379383	1
B9UYM8_S5R2L7	25379383	1
B9X187_Q66KV4	19167377	1
B9X187_Q6NTS2	19167377	1
B9X187_P52301	25946333	1
C0H473_PF3D7_0708400	22100910	1
C0H480_PF3D7_1414400	25132288	1
C0H480_Q8ILV1	25132288	1
C0H496_P17927	20855594	1
C0H4Q0_PF3D7_1450100	24434517	1
C0H516_PF3D7_0934800	22188458	1
C0H519_Q8IJK2	22982544	1
B2KNI9_C0HAD6	21990356	1
B3SRQ2_C0HAD6	21990356	1
B5X4X0_C0PUF7	25379383	1
A7LH49_C0PUF7	25379383	1
B5X3E8_C0PUF7	25379383	1
C0PUF7_C7EY83	25379383	1
C0PUF7_S5R2L7	25379383	1
C1DI41_C1DI41	20067522	1
C1KKL7_Q42547	21622812	1
C3VAL3_C3VAL3	23351158	1
C4ALD0_P55713	17981961	1
C4QH88_C4QH88	24428567	1
C4R5T1_C4R8D7	24535825	1
C4R6F0_C4R8D7	24535825	1
C4ZTJ3_P69853	20153451	1
C4ZYN1_P69853	20153451	1
C5A1D5_P69853	20153451	1
C5DEB9_C5DF24	23219485	1
C6KSL9_PF3D7_0702400	25062022	1
C6KSX0_PF3D7_0404900	22848665	1
C6KT50_C6KT50	20837012	1
C6KT68_Q8IED5	19523113	1
C6KT68_C6KT68	19523113	1
C6S3E1_PF3D7_1414400	16629662	1
C6ZRY5_P62199	21056039	1
C7E599_Q2HR80	18321973	1
B5X4X0_C7EY83	25379383	1
C7EY83_S5R2L7	25379383	1
C7EYC8_P01025	1320797	1
C8V7D1_P32917	23953117	1
ASPL0000044827_C8V8C3	22142781	1
ASPL0000058076_C8VBM8	19007409	1
ASPL0000014541_C8VF25	15247298	1
ASPL0000010989_C8VMF9	25855814	1
ASPL0000038700_C8VTV4	18291652	1
C8Z3H3_E9P8I0	21078122	1
C8Z5H8_C8ZB10	22471590	1
C8Z5H8_C8ZEN3	22471590	1
D0U1P1_O41974	26581985	1
D0U1P6_O41974	26581985	1
D0UZU4_O40931	18321973	1
D0UZU4_O40942	18321973	1
D0UZU4_Q2HR80	18321973	1
D0UZU4_Q76RG4	18321973	1
D0UZU4_Q77UV9	18321973	1
D0ZRB2_P10599	19690162	1
D0ZVG2_Q16512	16611232	1
D1J6P8_D1J6P8	20345907	1
D1MC98_D1MC98	22001209	1
D1MGU0_D1MGU1	21256857	1
D2KHQ9_P63027	22172278	1
B2KNI9_D2SQZ9	21990356	1
B3SRQ2_D2SQZ9	21990356	1
B2KNI9_D2SR00	21990356	1
B3SRQ2_D2SR00	21990356	1
D2T2F8_D2T2F9	20579338	1
D2T2F8_Q6EUV6	20579338	1
D2T2F8_Q6EUV7	20579338	1
D2T2F8_Q9ZS25	20579338	1
D2T2F8_Q9ZS29	20579338	1
D2T2F9_D2T2G0	20579338	1
D2T2F9_Q6EUV6	20579338	1
D2T2F9_Q6EUV7	20579338	1
D2T2F9_Q9ZS29	20579338	1
D2T2F9_Q9ZS30	20579338	1
D2T2F9_D2T2F9	20579338	1
D3IUT5_Q800K6	20116089	1
B5BUJ7_D3QNI8	21113130	1
D3UJ80_D3UJ81	23582331	1
D3UJ81_D3UJ81	23582331	1
D3XDN6_H2A2B7	19730696	1
D3XDN8_D3XDR2	19730696	1
D3XDN8_H2A1V7	19730696	1
D3XDN8_H2A1V9	19730696	1
D3XDN8_H2A2T2	19730696	1
D3XDN8_H2A368	19730696	1
D3XDP0_H2A2T2	19730696	1
D3YN49_P23437	20383140	1
D3YN49_Q800K6	20383140	1
D3YN49_Q9YHZ6	20383140	1
D3YP88_H0YL14	21667337	1
D5ARG8_D5ARG8	22707707	1
D5ARP7_O30729	18556791	1
D5ARW3_Q08386	19502397	1
D5ARW3_D5ARW3	19502397	1
D5LMF5_Q6NRZ0	20331974	1
D6P3F7_J9S2W1	24351868	1
D6P3F7_J9T303	24351868	1
D6RUV9_Q38931	22045333	1
D6RUV9_Q84XU2	22045333	1
D6WMX4_O60260	24660806	1
D6ZZE3_D7A6E5	14645228	1
D6ZZE3_D7A6E5	15848194	1
D6ZZE3_D7A6E5	18552405	1
D6ZZE3_D7A6E5	21592966	1
D7UPN3_Q8H8C7	21070404	1
D9IA43_D9IA44	20576851	1
D9IA43_D9IA45	20576851	1
D9PU00_D9PUX5	9578488	1
E0WIF7_E0WK31	18178731	1
E1WAC8_O35250	20579884	1
E1WAC8_Q96A65	20579884	1
E1WAC8_Q96KP1	20579884	1
E1WAC8_Q9UPT5	20579884	1
E1WAC8_Q9JKK1	22190682	1
E1WAC8_E1WAC8	18005098	1
E1X6C6_P08603	24835392	1
E4NKF8_Q6UD73	20971894	1
E4NKF8_Q8L4H4	26839127	1
E5KCJ8_P12204	20807881	1
E5LBX2_Q2PJ21	19730696	1
E6YC17_E6YC17	24996184	1
E6Z0R3_E6Z0R4	22266942	1
E6Z0R3_E6Z0R4	23738009	1
E7DN73_Q97SR6	27103053	1
E7DN80_Q97SR6	27103053	1
E7DN81_E7DN82	21097633	1
E7DN82_Q97PM1	27103053	1
E7DN95_Q97SR6	27103053	1
E7DN96_P66854	27103053	1
E7DN96_Q97SR6	27103053	1
E7DN96_Q97SX0	27103053	1
E7DN97_Q97QW0	27103053	1
E7DNA3_Q97SR6	27103053	1
E7DNB5_P0CB76	27103053	1
E7FKV8_H2LRU7	21307098	1
E7KC07_Q96WV5	23481256	1
F1BA49_O95786	24478431	1
F1BA49_Q14258	24478431	1
F2D891_F2D891	24661504	1
F2X8A1_I3LEC2	23221550	1
F2YHL2_Q5I6E9	21867679	1
F5HB81_P05106	18045938	1
F5HDA4_Q98146	18802460	1
F5HDE4_Q92985	11943871	1
F5HFQ0_P88927	12771417	1
F6KMV5_F6KMV5	24930858	1
F6PQC7_Q0PF16	25127057	1
F8RDD9_U5TMQ7	19730696	1
F8RDD9_F8RDD9	19730696	1
F8RFH0_P10216	19730696	1
F8RFZ7_I3TC73	19730696	1
F8RP38_Q96321	21811563	1
F9US10_F9US10	24127688	1
G0KUD5_G0KUD5	18723611	1
G0S024_G0S156	21784248	1
G0S024_G0S4T0	21784248	1
G0S024_G0SFH5	21784248	1
G0S156_G0S4T0	21784248	1
G0S156_G0S7B6	21784248	1
G0S156_G0SFH5	21784248	1
G1N8Y5_G1NJS7	25930730	1
G1N8Y5_Q2UVH8	25930730	1
G1NJS7_Q5GMQ7	25930730	1
G1SR27_Q28626	11551227	1
G1T8E2_O15169	10481074	1
G1TGF1_O14746	10197982	1
G1TPN2_P33279	11036079	1
G1U2U3_Q9ET78	19277847	1
CAL0000214_G1UB61	15449307	1
G3G8W7_Q6UK11	12134026	1
G3G922_Q15223	11277703	1
G3G922_Q9GL76	11277703	1
G3G924_Q8QXN7	12134026	1
G3G926_P63085	20554783	1
G3G926_G3G926	20554783	1
G3G960_Q13561	23414759	1
G3G960_Q14203	23414759	1
G3GTH2_Q9ULV1	20802536	1
G3I183_Q9Y265	17761535	1
G3I1T3_Q61743	9488482	1
G3I8R9_G3IL63	12665508	1
G3I8R9_O55242	17981125	1
G3LTY8_Q83WB2	21953460	1
G3LTY9_Q83WB2	21953460	1
49537_G3XCV0	24167275	1
G3XCV7_Q9HX24	18708507	1
G4V6B9_G4V6B9	24070897	1
G7IBJ4_Q6RHR6	27230377	1
G7JND3_Q6RHR6	27230377	1
G7KAT5_Q6UD73	27129432	1
H0VCR8_O08703	21463633	1
H0VD63_H0VEY0	18337493	1
H0YZU0_H0Z8H6	17178408	1
H2A0V8_H2A0V8	19730696	1
H2A1E8_Q83153	19730696	1
H2A1V9_O40944	19730696	1
H2A1V9_Q6QCN0	19730696	1
H2A2P4_H2A2P4	19730696	1
H9IWW7_Q9BLC5	22902560	1
H9JAQ7_H9JD76	26919431	1
H9L426_O84947	24090070	1
H9L426_P74857	24722491	1
H9L491_P74857	24722491	1
H9L4A0_P74857	24722491	1
H9L4A3_Q7CPS4	23302685	1
I0DF37_Q9UHD2	24706939	1
I3TCB5_I3TCB5	19730696	1
I6LAD1_Q8NJJ4	23559066	1
I6LAD1_Q92262	23559066	1
I6W9F2_Q9UHD2	24335286	1
I6Y1Q2_P9WF09	24725376	1
I6Y1Q2_P9WF25	24725376	1
I6YG32_P9WHT7	27353550	1
I6YG32_P9WPE5	27353550	1
J7FQE8_J7FQE8	22626887	1
J9VH01_J9VW13	23415457	1
J9VJ75_J9VTE6	23415457	1
J9VJ75_J9VW13	23415457	1
J9VQ28_J9VTE6	23415457	1
J9VQ28_J9VW13	23415457	1
J9VQ28_J9VW60	23415457	1
J9VW13_J9VW60	23415457	1
E1B8D6_K4P3M7	16760386	1
K4P3M7_Q09472	16760386	1
K7Y1A2_Q14164	23096996	1
K7Y1A2_Q9UHD2	23096996	1
K9USF9_P0C717	19730696	1
L8B1Q7_P20226	24418534	1
L8B1Q7_P24928	24418534	1
M1QCQ2_P03418	22623778	1
O00834_Q9XYH7	18818666	1
O01949_P02452	20015075	1
O01949_P02461	20015075	1
O01953_Q4U3C0	23216561	1
O05140_O05140	21642464	1
O05779_P9WG19	16416128	1
O05866_P9WNV3	12215643	1
O05866_P9WMQ1	17376770	1
O05866_O05866	12215643	1
O05877_P9WJH7	19843229	1
O06169_O06169	22805491	1
O06197_P9WIQ7	19159459	1
O06197_O06197	19159459	1
O06214_P9WMU1	19496931	1
O06462_Q934F6	15937161	1
O06462_Q934F6	18761683	1
O06543_O06543	15632186	1
O06553_O06553	15620716	1
O06553_O06553	16239726	1
O06758_O25747	19465658	1
O06873_O06874	18326582	1
O06873_O06874	21642461	1
O06873_O06874	22343296	1
O07025_O25120	11196647	1
O07025_O25120	16260786	1
O07213_O07213	19851001	1
O07347_P83749	14724630	1
O07347_P83749	14726591	1
O07523_O31501	21630458	1
O07529_O07529	19682074	1
O07580_O07581	14993308	1
O07728_O07728	16263329	1
O07728_P71937	16263329	1
O07728_P9WGE3	16263329	1
O07728_P9WGI3	16263329	1
O07728_P9WGX7	16263329	1
O07728_P9WLZ7	16263329	1
O07732_O07732	15678099	1
O07752_O07752	16262797	1
O07777_O07778	19246748	1
O07777_O07777	19246748	1
O07779_P9WII3	20876537	1
O07783_P9WF21	19016878	1
O08398_Q9WZU0	22473211	1
O08399_O83050	18509523	1
O12369_P05434	16317001	1
O13024_Q8JGN5	12221116	1
O13024_Q6DE08	15866179	1
O13024_Q804H7	17199039	1
O13024_Q8JGN5	17199039	1
O13024_Q6DE08	20691903	1
O13024_Q6DE08	10996078	1
O13024_Q6DE08	12221116	1
O13024_Q8JGN5	12464631	1
O13024_Q3KPK4	15260989	1
O13024_Q4V7H8	15260989	1
O13024_Q6DE08	15260989	1
O13024_Q8JGN5	15260989	1
O13024_Q3KPK4	17199039	1
O13024_Q4V7H8	17199039	1
O13046_Q0IHI4	19893489	1
O13046_Q9DE46	19893489	1
O13314_Q2LD94	17255942	1
O15758_Tb927.8.760	12076772	1
O15759_Tb927.8.760	12076772	1
O18473_Q7SIF6	14595375	1
O20031_P12154	11752384	1
O20031_Q39615	11752384	1
O22544_Q85449	17174956	1
GR_protein:O24435_O24435	17172358	1
O24862_O24883	11196647	1
O24862_O24883	15133060	1
O24926_O34461	11196647	1
O24926_O34461	24627523	1
O25008_O25852	24627523	1
O25041_O25270	11196647	1
O25041_O25270	15133060	1
O25063_O26067	11196647	1
O25063_O25063	11196647	1
O25114_P94844	11196647	1
O25114_P94844	24627523	1
O25120_O25120	11196647	1
