Pubmed	Owner	Status	Admin Users	Admin Groups	
23770684	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
25996149	PMDaemon	NEW		IMEX CURATORS
26775664	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
27824145	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19934254	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21957439	intact	RELEASED	phantom	INTACT CURATORS,UNIPROT,IMEX CURATORS
24359973	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
28507518	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
27805058	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19767412	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
15793576	intact	RELEASED	ADMIN,phantom	ADMIN,INTACT CURATORS,BHF-UCL,IMEX CURATORS
10682496	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21624163	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19224762	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
22084607	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
18354194	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21655214	PMDaemon	NEW		IMEX CURATORS
28056086	PMDaemon	NEW		IMEX CURATORS
25920452	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
27542279	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
16951355	intact	RELEASED	ADMIN,mgt	ADMIN,INTACT,IMEX CURATORS
19917778	intact	RELEASED	ADMIN,phantom,liviap	ADMIN,INTACT,IMEX CURATORS
24877091	intact	RELEASED	ADMIN,phantom,liviap	ADMIN,INTACT,IMEX CURATORS
28420882	intact	RELEASED	ADMIN,phantom,liviap	ADMIN,INTACT,IMEX CURATORS
26431330	intact	RELEASED	ADMIN,phantom,liviap	ADMIN,INTACT,IMEX CURATORS
26259872	intact	RELEASED	ADMIN,phantom,liviap	ADMIN,INTACT,IMEX CURATORS
22442688	intact	RELEASED	phantom	INTACT CURATORS,UNIPROT,IMEX CURATORS
12556241	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21148148	intact	DISCARDED	ADMIN,mgt	ADMIN,INTACT,IMEX CURATORS
18430226	intact	RELEASED	ADMIN,jyoti	ADMIN,INTACT,IMEX CURATORS
21858082	PMDaemon	NEW		IMEX CURATORS
20035625	intact	RELEASED	ADMIN,mgt	ADMIN,INTACT,IMEX CURATORS
16397295	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
17620406	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
18828880	PMDaemon	NEW		IMEX CURATORS
12427871	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
12021315	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21826244	intact	RELEASED	phantom	INTACT CURATORS,UNIPROT,IMEX CURATORS
18281698	intact	RELEASED	ADMIN,phantom	ADMIN,INTACT CURATORS,UNIPROT,IMEX CURATORS
17175537	intact	DISCARDED	ADMIN,mgt	ADMIN,INTACT,IMEX CURATORS
17178910	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
26352593	intact	RELEASED	marta	MINT,INTACT CURATORS,IMEX CURATORS
17693435	intact	RELEASED	ADMIN,phantom	ADMIN,INTACT CURATORS,UNIPROT,IMEX CURATORS
12509223	intact	RELEASED	ADMIN,phantom	ADMIN,INTACT CURATORS,UNIPROT,IMEX CURATORS
18559666	intact	RELEASED	ADMIN,phantom	ADMIN,INTACT CURATORS,UNIPROT,IMEX CURATORS
21311754	intact	RELEASED	mgt	INTACT,IMEX CURATORS
16282588	intact	RELEASED	ADMIN,liviap	ADMIN,INTACT,IMEX CURATORS
20222950	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19668516	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
20370918	PMDaemon	RELEASED	ADMIN,liviap	ADMIN,INTACT,IMEX CURATORS
21695141	PMDaemon	NEW		IMEX CURATORS
11956229	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
17913746	PMDaemon	RELEASED	ADMIN,phantom	ADMIN,INTACT CURATORS,UNIPROT,IMEX CURATORS
19116655	PMDaemon	RELEASED	liviap	INTACT,IMEX CURATORS
21829704	PMDaemon	RELEASED	liviap	INTACT,IMEX CURATORS
21814311	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19602287	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19095693	PMDaemon	RELEASED	ADMIN,liviap	ADMIN,INTACT,IMEX CURATORS
21288883	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
12235127	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
