pmid	curator	curatable	curator_comment	prot_pairs	relevance	DS.interest	DS.part_interest	ccline_uniprot	noncur_prot	contains_ints_man_check	contains_ints_man_check_comment	imex_publ	imex_pair	GO_IPI_publ	GO_IPI_pair	BioGRID_publ	BioGRID_pair	tm_epmc_publ	tm_epmc_pair	EVEX_publ	EVEX_pair	STRING_textmining_pair	reactome_publ	reactome_pair	OmniPath_interactions_publ	OmniPath_interactions_pair	OmniPath_ptm_publ	OmniPath_ptm_pair	STRING_pi_pair	iid_pred
22210847				P48995_Q13586	9.50069559137562	0	0		no			no	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	yes	yes
22355267				P01130_Q8NBP7	9.50069559137562	0	0		no			no	no	no	no	no	no	yes	yes	no	no	yes	no	no	no	no	no	no	no	yes
22446186				P48995_Q13586	9.50069559137562	0	0		no			no	no	no	no	no	no	no	no	no	no	yes	no	no	yes	yes	no	no	yes	yes
22592407				P48995_Q13586	9.50069559137562	0	0		no			no	no	no	no	no	no	no	no	no	no	yes	no	no	yes	yes	no	no	yes	yes
23034388				P48995_Q13586	9.50069559137562	0	0		no			no	no	no	no	no	no	no	no	no	no	yes	no	no	yes	yes	no	no	yes	yes
23395841				P48995_Q13586	9.50069559137562	0	0		no			no	no	no	no	no	no	no	no	no	no	yes	no	no	yes	yes	no	no	yes	yes
23686296				P48995_Q13586	9.50069559137562	0	0		no			no	no	no	no	no	no	no	no	no	no	yes	no	no	yes	yes	no	no	yes	yes
24464579				P48995_Q13586	9.50069559137562	0	0		no			no	no	no	no	no	no	no	no	no	no	yes	no	no	yes	yes	no	no	yes	yes
24657276				O00141_Q96PU5	9.50069559137562	0	0		no			no	no	no	no	no	no	yes	yes	no	no	yes	no	no	no	no	no	no	yes	yes
25258489				P24863_P49336	9.50069559137562	0	0		no			no	no	no	no	no	no	yes	yes	no	no	yes	no	no	no	no	no	no	yes	yes
9861036				P78509_P98155	9.50069559137562	0	0	no (P78509)	yes			no	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	yes	yes
10089880				P61088_Q15819	9.50061155776217	0	0		no			no	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	yes	yes
10212832				A0A024R9R8_F8WCA0|A0A024R9R8_P63027|A8K287_F8WCA0|A8K287_P63027|F8WCA0_O00161|O00161_P63027	9.50061155776217	0	3		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
10473346				P15927_P27694|P15927_P35244|P27694_P35244	9.50061155776217	0	0		no			no	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	yes	yes
10562325				A0A024QZD6_A0A024R3B9|A0A024QZD6_A0A0S2Z3Y4|A0A024QZD6_A0A0S2Z3Y8|A0A024QZD6_P01732|A0A024QZD6_P02511|A0A024QZD6_P06239|A0A024QZD6_Q573B4|A0A024QZD6_Q6ZVS2|A0A024QZD6_Q8TAW8|A0A024QZD6_V9HW27|A0A024R3B9_O43561|A0A0S2Z3Y4_O43561|A0A0S2Z3Y4_P01732|A0A0S2Z3Y4_Q6ZVS2|A0A0S2Z3Y4_Q8TAW8|A0A0S2Z3Y8_O43561|A0A0S2Z3Y8_P01732|A0A0S2Z3Y8_Q6ZVS2|A0A0S2Z3Y8_Q8TAW8|O43561_P01732|O43561_P02511|O43561_P06239|O43561_Q573B4|O43561_Q6ZVS2|O43561_Q8TAW8|O43561_V9HW27|P01732_P06239|P01732_P60709|P01732_Q1KLZ0|P01732_Q573B4|P06239_Q6ZVS2|P06239_Q8TAW8|P60709_Q6ZVS2|P60709_Q8TAW8|Q1KLZ0_Q6ZVS2|Q1KLZ0_Q8TAW8|Q573B4_Q6ZVS2|Q573B4_Q8TAW8	9.50061155776217	2	19	no (P01732)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
10934472				O00548_Q04721|P78504_Q04721|Q04721_Q04721	9.50061155776217	0	0	no (O00548,Q04721)	part			no	no	no	no	no	no	no	no	no	no	part	yes	yes	no	no	no	no	no	yes
11004490				O43915_P35968|P15692_P35968|P35968_P49767	9.50061155776217	0	0		no			no	no	no	no	no	no	no	no	no	no	part	yes	yes	no	no	no	no	part	yes
11157767				P15927_P27694|P15927_P35244|P27694_P35244	9.50061155776217	0	0		no			no	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	yes	yes
12011113				P01138_P04629	9.50061155776217	0	0		no			no	no	no	no	no	no	yes	yes	no	no	yes	no	no	no	no	no	no	yes	yes
15177042				A0A024RAL0_A0A024RE06|A0A024RAL0_A0A0C4DGV9|A0A024RAL0_A8K8Q4|A0A024RAL0_P49917|A0A024RAL0_P78527|A0A024RAP0_A0A024RE06|A0A024RAP0_A0A0C4DGV9|A0A024RAP0_A8K8Q4|A0A024RAP0_P49917|A0A024RAP0_P78527|A0A024RAQ8_A0A024RE06|A0A024RAQ8_A0A0C4DGV9|A0A024RAQ8_A8K8Q4|A0A024RAQ8_P49917|A0A024RAQ8_P78527|A0A024RE06_P78527|A0A024RE06_Q13426|A0A024RE06_Q7Z763|A0A0C4DGV9_P78527|A0A0C4DGV9_Q13426|A0A0C4DGV9_Q7Z763|A8K8Q4_P78527|A8K8Q4_Q13426|A8K8Q4_Q7Z763|P49917_P78527|P49917_Q13426|P49917_Q7Z763|P78527_Q13426|P78527_Q7Z763	9.50061155776217	1	15		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	yes	part	part	part
15917419				A0A024R499_C9J5X1|A0A024R499_P08069|C9J5X1_P35568|P08069_P35568	9.50061155776217	0	2		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
16138009				O60566_Q12834	9.50061155776217	0	0		no			no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	no	no	yes	yes
16412704				B4DT73_P27694|B4DUL2_P27694|E7EPP6_P27694|O14757_P27694|P15927_P27694	9.50061155776217	1	4		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
16498502				A0A024RDV3_A0A087WT22|A0A024RDV3_A0A087WXZ1|A0A024RDV3_A0A087X1Q1|A0A024RDV3_H2EHT1|A0A024RDV3_K7PPA8|A0A024RDV3_P04637|A0A024RDV3_Q53GA5|A0A087WT22_P06400|A0A087WXZ1_P06400|A0A087X1Q1_P06400|H2EHT1_P06400|K7PPA8_P06400|P04637_P06400|P06400_Q53GA5	9.50061155776217	0	7		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
16990656				C9JMY1_E3UN46|C9JMY1_P01344|E3UN46_P18065|P01344_P18065	9.50061155776217	0	2		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
18418349				O00548_Q04721|Q04721_Q04721	9.50061155776217	0	0	no (O00548,Q04721)	part			no	no	no	no	no	no	no	no	no	no	part	yes	yes	no	no	no	no	no	yes
1850549				P01138_P04629	9.50061155776217	0	0		no			no	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	yes	yes
18559670				P01138_P04629	9.50061155776217	0	0		no			no	no	no	no	no	no	yes	yes	no	no	yes	no	no	no	no	no	no	yes	yes
21286310				G8JLG1_Q06609|O96017_Q13535|Q06609_Q14683|Q06609_Q68EN4	9.50061155776217	0	0		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
8196638				P15927_P27694|P15927_P35244|P27694_P35244	9.50061155776217	0	0		no			no	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	yes	yes
9880084				O60755_P22466	9.50061155776217	0	0	no (O60755)	yes			no	no	no	no	no	no	no	no	no	no	yes	no	no	yes	yes	no	no	yes	yes
14556005				O00182_Q8TDQ0	9.49984728598928	0	0	no (O00182)	no			no	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	no	yes
15271995				A1L4K2_B4DV95|A1L4K2_E9PBB9|A1L4K2_O14733|A1L4K2_P45985|A1L4K2_Q6NUQ9|A1L4K2_Q9UQF2|B4DV95_P45983|E9PBB9_P45983|O14733_P45983|P45983_P45985|P45983_Q6NUQ9|P45983_Q9UQF2	9.49984728598928	1	7		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
15755722				O15530_Q99683|P17252_Q15139|P43405_P45983|P45983_P45985|P45984_P68400|Q05655_Q15139	9.49984728598928	1	1		no			no	no	no	no	no	no	no	no	no	no	part	no	no	yes	part	yes	yes	part	part
16286920				O00182_Q8TDQ0	9.49984728598928	0	0	no (O00182)	no			no	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	no	yes
17011764				A0A024QZ02_Q8TDQ0|A0A024QZ55_Q8TDQ0|O00182_Q8TDQ0	9.49984728598928	0	2	no (O00182)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	no	part
17997862				A0A0U2ZQU7_B2RBI8|A0A0U2ZQU7_B4DGU2|A0A0U2ZQU7_B4DUF7|A0A0U2ZQU7_P17535|A0A0U2ZQU7_P22004|A0A0U2ZQU7_P37275|A0A0U2ZQU7_Q4VBA3|A0A0U2ZQU7_Q96BH3|B2RBI8_B3GN61|B2RBI8_P12830|B2RBI8_Q9UII7|B3GN61_B4DGU2|B3GN61_B4DUF7|B3GN61_P17535|B3GN61_P22004|B3GN61_P37275|B3GN61_Q4VBA3|B3GN61_Q96BH3|B4DGU2_P12830|B4DGU2_Q9UII7|B4DUF7_P12830|B4DUF7_Q9UII7|P12830_P17535|P12830_P22004|P12830_P37275|P12830_Q4VBA3|P12830_Q96BH3|P17535_Q9UII7|P22004_Q9UII7|P37275_Q9UII7|Q4VBA3_Q9UII7|Q96BH3_Q9UII7	9.49969738208392	1	12	no (P22004,P37275,Q96BH3)	part			no	no	no	no	no	no	yes	part	yes	yes	part	no	no	no	no	no	no	part	part
17156449				A0A024R7M9_A4D2P0|A0A024R7M9_A4D2P1|A0A024R7M9_P63000|A0A024R8S5_Q14703|A0PJA6_P48039|A4D2P0_Q9HBW0|A4D2P1_Q9HBW0|O75794_P01033|O75794_P16035|O75794_P21453|O75794_Q92633|P02787_P48039|P07237_Q14703|P08519_P21453|P08519_Q14703|P08519_Q92633|P21453_Q14703|P48039_Q06AH7|P63000_Q9HBW0|Q14703_Q92633	9.49818371064595	1	7	no (O75794,Q14703,Q92633)	part			no	no	no	no	no	no	yes	part	yes	part	part	no	no	no	no	no	no	no	part
10037793				A0A087WU06_Q53EQ3|A0A087WU06_Q9BSJ2|B4DYP7_Q53EQ3|B4DYP7_Q9BSJ2|Q53EQ3_Q96CW5|Q96CW5_Q9BSJ2	9.49750251309146	0	3	no (Q96CW5,Q9BSJ2)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
7489498				A0A024R1K8_B4DW90|A0A024R1K8_Q12874|B4DW90_Q15459|Q12874_Q15459	9.49750251309146	0	2		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
20660628				A0A024R395_A5D6Y3|A0A024R395_P78527|A0A024R395_Q92878|A0A0C4DG07_A5D6Y3|A0A0C4DG07_P78527|A0A0C4DG07_Q92878|A5D6Y3_F8W7U8|A5D6Y3_O60934|A5D6Y3_O96017|A5D6Y3_P49959|A5D6Y3_P78527|A5D6Y3_Q05D78|A6NNK5_Q9HD26|F8W7U8_P78527|F8W7U8_Q92878|O60934_P78527|O60934_Q92878|O76064_P49454|O96017_P78527|O96017_Q92878|P16104_Q13315|P16104_Q14676|P49959_P78527|P49959_Q92878|P78527_Q05D78|P78527_Q92878|Q05D78_Q92878|Q12888_Q9HD26|Q13315_Q14676	9.49600669186608	10	22		part			no	no	no	no	no	no	yes	part	yes	part	part	no	no	no	no	no	no	part	part
10229797				O15444_P51686	9.49232067157893	0	0	no (O15444,P51686)	yes			no	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	yes	yes
10640743				O15444_P51686	9.49232067157893	0	0	no (O15444,P51686)	yes			no	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	yes	yes
10976885				P05109_P06702	9.49232067157893	0	0		no			no	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	yes	yes
11257177				A0A024RAV5_A0A0S2Z4L5|A0A024RAV5_A2PYH4|A0A024RAV5_B4E0X2|A0A024RAV5_L7RRS6|A0A024RAV5_P04049|A0A0S2Z4L5_I1SRC5|A0A0S2Z4L5_L7RSL8|A0A0S2Z4L5_P01116|A2PYH4_I1SRC5|A2PYH4_L7RSL8|A2PYH4_P01116|B4E0X2_I1SRC5|B4E0X2_L7RSL8|B4E0X2_P01116|I1SRC5_L7RRS6|I1SRC5_P04049|L7RRS6_L7RSL8|L7RRS6_P01116|L7RSL8_P04049|P01116_P04049	9.49232067157893	0	7	no (A2PYH4)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
11387210				O43915_P35968|P15692_P17948|P15692_P35968|P17948_P49763|P17948_P49765|P35968_P49767	9.49232067157893	0	0	no (P49765)	no			no	no	no	no	no	no	no	no	no	no	part	yes	yes	no	no	no	no	part	yes
11884399				O60563_P50750|O60583_P50750|O75909_P50750	9.49232067157893	0	0	no (O60583)	no			no	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	part	yes
11994746				O00161_P63027|O00161_Q12846|P63027_Q12846	9.49232067157893	0	0		no			no	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	yes	yes
12482975				P24941_P46527	9.49232067157893	0	0		no			no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	yes	yes	yes	yes
12700233				P24941_P46527	9.49232067157893	0	0		no			no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	yes	yes	yes	yes
12871269				P15692_P17948|P17948_P49763|P17948_P49765	9.49232067157893	1	1	no (P49765)	no			no	no	no	no	no	no	no	no	no	no	part	yes	yes	no	no	no	no	part	yes
12962546				A0A024R0Y2_A0A024R9Z8|A0A024R0Y2_A0A024RDJ4|A0A024R0Y2_A0A087X0W8|A0A024R0Y2_F1D8P9|A0A024R0Y2_O75469|A0A024R0Y2_P19838|A0A024R0Y2_P35869|A0A024R0Y2_Q04206|A0A024R9Z8_A0A024RDJ4|A0A024R9Z8_A0A087X0W8|A0A024R9Z8_B2ZZ90|A0A024R9Z8_F1D8P9|A0A024R9Z8_O75469|A0A024R9Z8_P19838|A0A024R9Z8_Q04206|A0A024R9Z8_Q13085|A0A024R9Z8_Q7Z5W8|A0A024RDJ4_A0A087X0W8|A0A024RDJ4_B2ZZ90|A0A024RDJ4_F1D8P9|A0A024RDJ4_O75469|A0A024RDJ4_P35869|A0A024RDJ4_Q04206|A0A024RDJ4_Q13085|A0A024RDJ4_Q7Z5W8|A0A087X0W8_B2ZZ90|A0A087X0W8_F1D8P9|A0A087X0W8_O75469|A0A087X0W8_P19838|A0A087X0W8_P35869|A0A087X0W8_Q13085|A0A087X0W8_Q7Z5W8|B2ZZ90_F1D8P9|B2ZZ90_O75469|B2ZZ90_P19838|B2ZZ90_P35869|B2ZZ90_Q04206|F1D8P9_P19838|F1D8P9_P35869|F1D8P9_Q04206|F1D8P9_Q13085|F1D8P9_Q7Z5W8|O75469_P19838|O75469_P35869|O75469_Q04206|O75469_Q13085|O75469_Q7Z5W8|P19838_P35869|P19838_Q04206|P19838_Q13085|P19838_Q7Z5W8|P35869_Q04206|P35869_Q13085|P35869_Q7Z5W8|Q04206_Q13085|Q04206_Q7Z5W8	9.49232067157893	9	37		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
14504289				P12931_P46527|P24941_P46527|P46527_Q15349|P46527_Q8TAS1	9.49232067157893	0	0		no			no	no	no	no	no	no	no	no	no	no	part	no	no	yes	part	yes	yes	part	part
15035987				P01111_P04049|P01111_P31946|P01112_P04049|P01112_P31946|P01116_P04049|P01116_P31946|P04049_P31946	9.49232067157893	0	0		no			no	no	no	no	no	no	no	no	no	no	part	yes	yes	no	no	no	no	yes	part
15265917				A0A024RDJ4_A0A087X0W8|A0A024RDJ4_Q04206|A0A087X0W8_P01375|A0A087X0W8_P19838|A0A087X0W8_Q5STB3|P01375_Q04206|P19838_Q04206|Q04206_Q5STB3	9.49232067157893	1	5		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
15272021				G3XA84_L7RSL3|G3XA84_P17948|L7RSL3_P49763|L7RSL3_Q53XY6|L7RSL3_Q86TW6|P17948_P49763|P17948_Q53XY6|P17948_Q86TW6	9.49232067157893	0	4		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
15292049				A8K434_P78508|K7EJR9_P78508|P78508_Q8N538|P78508_Q9NPI9	9.49232067157893	0	3	no (Q9NPI9)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	no	part
15367576				B2RU28_Q8TDU9|K7ENX1_Q8TDU9|P01042_Q8TDU9|Q8TDU9_Q8WXF3|Q8WXF3_Q9NSD7	9.49232067157893	1	3	no (Q9NSD7)	part			no	no	no	no	no	no	no	no	yes	part	part	no	no	yes	part	no	no	part	part
15964792				A0A024RBG7_A0A024RD22|A0A024RBG7_P23511|A0A024RD22_P25208|P23511_P25208	9.49232067157893	0	2		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
16618119				P20366_P25103|P25103_Q9Y494	9.49232067157893	0	1		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
16846592				P05109_P06702	9.49232067157893	0	0		no			no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	no	no	yes	yes
17331073				O15269_O15270|O15269_Q8NFR3|O15269_Q969W0|O15269_Q9NUV7|O15270_Q8NFR3|O15270_Q969W0|Q8NFR3_Q9NUV7|Q969W0_Q9NUV7	9.49232067157893	0	0	no (O15270,Q8NFR3,Q969W0)	part			no	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	yes	part
17389395				O00401_Q05397|O00401_Q07912|P00519_P22681|P00519_Q03135|P00519_Q8IZP0|P07355_P12931|P07948_P43405|P07949_Q05397|P12931_Q05397|P12931_Q07912|P12931_Q14247|P12931_Q14289|P16591_P40763|P19174_P43405|P19174_Q08881|P27361_Q02750|P28482_P36507|P28482_Q02750|P40763_Q13882|P42684_Q9NRY4|P46734_Q16539|P49023_Q13882|Q13882_Q9NRY4	9.49232067157893	1	1	no (Q9NRY4)	no			no	no	no	no	no	no	no	no	no	no	part	no	no	yes	part	yes	yes	part	yes
17493932				F5H1T4_Q15303|J3QLU9_Q15303|P04626_Q15303|Q15303_X5DNK3	9.49232067157893	0	3		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
17727979				P01282_P41587|P01282_X5D7Q6|P01282_X5DP12	9.49232067157893	0	2	no (P41587)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
17878313				O00548_P46531	9.49232067157893	0	0	no (O00548)	yes			no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	no	no	yes	yes
17996728				D6R992_Q00653|Q00653_Q01201	9.49232067157893	0	1		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
18290856				A0A024RDJ4_A0A087X0W8|A0A024RDJ4_B2RNB2|A0A024RDJ4_P01584|A0A024RDJ4_P78536|A0A024RDJ4_Q04206|A0A087X0W8_B2RNB2|A0A087X0W8_P01584|A0A087X0W8_P19838|A0A087X0W8_P78536|B2RNB2_P01584|B2RNB2_P19838|B2RNB2_Q04206|P01584_P19838|P01584_P78536|P01584_Q04206|P19838_P78536|P19838_Q04206|P78536_Q04206	9.49232067157893	2	12	no (P01584)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
18296446				O00548_P46531|P46531_P46531	9.49232067157893	0	0	no (O00548)	part			no	no	no	no	no	no	no	no	no	no	part	yes	yes	no	no	no	no	part	yes
18431504				P23511_P25208	9.49232067157893	0	0		no			no	no	no	no	no	no	yes	yes	no	no	yes	no	no	no	no	no	no	yes	yes
20011512				A0A1U9X983_B4DEI9|A0A1U9X983_P01584|A0A1U9X983_P46531|A0A1U9X983_Q04721|A0A1U9X983_Q6IQ50|A0A1U9X983_Q9UFD5|A0A1U9X983_Q9Y5J3|B4DEI9_P01375|B4DEI9_P01584|B4DEI9_P46531|B4DEI9_Q04721|B4DEI9_Q5STB3|B4DEI9_Q6IQ50|B4DEI9_Q99466|B4DEI9_Q9UFD5|P01375_P46531|P01375_Q04721|P01375_Q6IQ50|P01375_Q9UFD5|P01375_Q9Y5J3|P01584_P46531|P01584_Q04721|P01584_Q6IQ50|P01584_Q99466|P01584_Q9UFD5|P01584_Q9UM47|P01584_Q9Y5J3|P46531_Q04721|P46531_Q5STB3|P46531_Q6IQ50|P46531_Q99466|P46531_Q9UFD5|P46531_Q9UM47|P46531_Q9Y5J3|Q04721_Q5STB3|Q04721_Q99466|Q04721_Q9UM47|Q04721_Q9Y5J3|Q5STB3_Q6IQ50|Q5STB3_Q9UFD5|Q5STB3_Q9Y5J3|Q6IQ50_Q99466|Q6IQ50_Q9UM47|Q6IQ50_Q9Y5J3|Q99466_Q9UFD5|Q99466_Q9Y5J3|Q9UFD5_Q9UM47|Q9UFD5_Q9Y5J3	9.49232067157893	10	35	no (P01584,Q04721,Q99466)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
20078881				O60563_P50750	9.49232067157893	0	0		no			no	no	no	no	no	no	yes	yes	no	no	yes	no	no	no	no	no	no	yes	yes
20233427				A0A024RDJ4_A0A087X0W8|A0A024RDJ4_Q00653|A0A024RDJ4_Q04206|A0A087X0W8_P19838|A0A087X0W8_Q00653|P19838_Q00653|P19838_Q04206|Q00653_Q04206	9.49232067157893	2	6		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
20465828				A0A024RDJ4_A0A087X0W8|A0A024RDJ4_P02741|A0A024RDJ4_Q04206|A0A087X0W8_P02741|A0A087X0W8_P19838|P02741_P19838|P02741_Q04206|P19838_Q04206	9.49232067157893	2	6		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
20929541				P20366_P25103|P20366_P29371|P25103_P29371|P25103_Q86UU9|P25103_Q9Y494|P29371_Q9Y494	9.49232067157893	3	5	no (Q86UU9)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
21469132				P07948_P43405	9.49232067157893	0	0		no			no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	yes	yes	yes	yes
21592353				A0A024R4E5_O00206|A0A024R4E5_P02741|B2R5V9_O00206|B2R5V9_P02741|O00206_P02741|O00206_Q00341|P02741_P05109|P02741_P06702|P02741_Q00341|P05109_P06702	9.49232067157893	0	2		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
21764741				Q9BXW9_Q9NVI1	9.49232067157893	0	0		no			no	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	yes	yes
21867543				B4DR57_E9PDY4|B4DR57_P17927|E9PDY4_P01024|E9PDY4_P0C0L4|E9PDY4_P0C0L5|E9PDY4_V9HWA9|P01024_P17927|P0C0L4_P17927|P0C0L5_P17927|P17927_V9HWA9	9.49232067157893	3	9	no (P0C0L4,P0C0L5,P17927)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
22276149				O60563_P50750	9.49232067157893	0	0		no			no	no	no	no	no	no	yes	yes	no	no	yes	no	no	no	no	no	no	yes	yes
24633051				P23511_P25208	9.49232067157893	0	0		no			no	no	no	no	no	no	yes	yes	no	no	yes	no	no	no	no	no	no	yes	yes
25153719				P04626_Q15303	9.49232067157893	0	0		no			no	no	no	no	no	no	yes	yes	no	no	yes	no	no	no	no	no	no	yes	yes
25597447				P05109_P06702	9.49232067157893	0	0		no			no	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	yes	yes
27793050				P23511_P25208	9.49232067157893	0	0		no			no	no	no	no	no	no	yes	yes	no	no	yes	no	no	no	no	no	no	yes	yes
3770210				P20366_P21452|P20366_P25103	9.49232067157893	0	0		no			no	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	yes	yes
8662891				P08134_Q9BST9|P61586_Q9BST9|P62745_Q9BST9	9.49232067157893	0	0		no			no	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	no	yes
9528785				A0A024RDU9_P35269|A0A024RDU9_Q00403|P13984_P35269|P13984_Q00403	9.49232067157893	1	3		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
9722576				P15692_P17948|P17948_P49763|P17948_P49765	9.49232067157893	0	0	no (P49765)	no			no	no	no	no	no	no	no	no	no	no	part	yes	yes	no	no	no	no	part	yes
21203512				A0PJJ7_A4D1B1|A0PJJ7_B7Z6C3|A0PJJ7_E9PLT1|A0PJJ7_P16671|A4D1B1_B3VK56|A4D1B1_B4DG68|A4D1B1_P01584|A4D1B1_P29475|B3VK56_B7Z6C3|B3VK56_E9PLT1|B3VK56_P16671|B4DG68_B7Z6C3|B4DG68_E9PLT1|B4DG68_P16671|B7Z6C3_P01584|B7Z6C3_P29475|E5KS60_P51398|E5KS60_P78324|E9PLT1_P01584|E9PLT1_P29475|P01584_P16671|P01584_P78324|P16671_P29475|P16671_Q08722|P16671_Q6UWB4|P51398_Q9P2R7|P51398_Q9Y4T0|P78324_Q08722|P78324_Q9P2R7|P78324_Q9Y4T0|Q08722_Q6UWB4	9.48751072350469	1	7	no (P01584,P78324,Q6UWB4,Q9P2R7)	part			no	no	no	no	no	no	yes	part	yes	part	part	no	no	no	no	no	no	part	part
11137016				O75581_O94907|O75581_Q8NCW0|O94907_Q8NCW0	9.48381270427023	0	0	no (Q8NCW0)	part			no	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	yes	yes
11742004				O75581_O94907|O75581_Q8NCW0|O94907_Q8NCW0	9.48381270427023	0	0	no (Q8NCW0)	part			no	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	yes	yes
12050670				I1W660_Q53F67|I1W660_Q8NCW0|O75581_O94907|O75581_Q53F67|O75581_Q8NCW0|O94907_Q53F67|O94907_Q8NCW0	9.48381270427023	0	3	no (Q8NCW0)	part			no	no	no	no	no	no	no	no	yes	part	part	yes	part	yes	part	no	no	part	part
12167704				O75581_O94907|O75581_Q8NCW0|O94907_Q8NCW0	9.48381270427023	2	2	no (Q8NCW0)	part			no	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	yes	yes
12527209				A0A024R2Q3_Q53F67|A0A024R2Q3_Q8NCW0|B4DGU4_Q53F67|B4DGU4_Q8NCW0|O75581_O94907|O75581_Q8NCW0|O94907_Q8NCW0|P35222_Q53F67|P35222_Q8NCW0|Q53F67_Q9UBT3|Q8NCW0_Q9UBT3	9.48381270427023	0	4	no (Q8NCW0,Q9UBT3)	part			no	no	no	no	no	no	no	no	yes	part	part	yes	part	no	no	no	no	part	part
15522237				P09619_P12931|P12931_Q59F04	9.48381270427023	0	1		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
18502762				O75581_O94907|O75581_Q8NCW0|O94907_Q8NCW0	9.48381270427023	0	0	no (Q8NCW0)	part			no	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	yes	yes
22000855				O75581_O94907|O75581_Q8NCW0|O94907_Q8NCW0	9.48381270427023	0	0	no (Q8NCW0)	part			no	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	yes	yes
