pmid	curator	curatable	curator_comment	prot_pairs	ccline_uniprot	noncur_prot	contains_ints_man_check	contains_ints_man_check_comment	imex_publ	imex_pair	GO_IPI_publ	GO_IPI_pair	BioGRID_publ	BioGRID_pair	tm_epmc_publ	tm_epmc_pair	EVEX_publ	EVEX_pair	STRING_textmining_pair	reactome_publ	reactome_pair	OmniPath_interactions_publ	OmniPath_interactions_pair	OmniPath_ptm_publ	OmniPath_ptm_pair	STRING_pi_pair	iid_pred
9872992				A0A024R878_A8K571|A0A024R878_C8C060|A0A024R878_P12643|A0A024R878_P18075|A8K571_B7Z6Y5|A8K571_F5GX88|A8K571_P17813|A8K571_Q5T9B9|A8K571_Q96CG0|B7Z6Y5_C8C060|B7Z6Y5_P12643|B7Z6Y5_P18075|C8C060_F5GX88|C8C060_P17813|C8C060_Q5T9B9|C8C060_Q96CG0|F5GX88_P12643|F5GX88_P18075|P01137_Q13873|P10600_P17813|P10600_P37173|P12643_P17813|P12643_Q5T9B9|P12643_Q96CG0|P17813_P18075|P17813_P27037|P17813_P36897|P17813_P37173|P17813_Q04771|P17813_Q13705|P18075_Q5T9B9|P18075_Q96CG0	no (P18075,P27037,Q04771)	part			no	no	yes	part	yes	part	no	no	yes	part	part	no	no	no	no	no	no	part	part
1672777				P01160_P17342|P01160_P20594|P16860_P17342|P16860_P20594|P17342_P23582|P20594_P23582	no (P17342,P20594,P23582)	part			no	no	yes	part	yes	yes	no	no	no	no	yes	yes	part	no	no	no	no	no	yes
11980914				A0A024RB10_Q5MJ70|A0A024RB77_Q5MJ70|B4DDL9_Q5MJ70|E7ESI2_Q5MJ70|G3V5T9_Q5MJ70|P06493_P16401|P12004_Q5MJ70|P16401_P24941|P22674_Q5MJ70|P24941_Q5MJ70	no (P16401,P22674,Q5MJ70)	part			no	no	yes	part	yes	part	yes	part	yes	part	part	no	no	no	no	no	no	no	part
11285285				A0A024R629_A0A024R730|A0A024R629_O14745|A0A024R629_P05362|A0A024R629_P13569|A0A024R629_P16070|A0A024R629_Q15599|A0A024R730_O14745|A0A024R730_P05362|A0A024R730_P07550|A0A024R730_P16070|A0A024R730_P16150|A0A024R730_Q15599|A0A1U9X8L0_A7E244|A0A1U9X8L0_B7ZVY9|A0A1U9X8L0_Q9BXI6|A7E244_O14745|A7E244_P16070|A7E244_P20936|A7E244_Q15599|A7E244_Q59GK3|A7E244_Q68EM7|A7E244_Q96PV0|A7E244_Q9Y6Q1|B7ZVY9_O14745|B7ZVY9_P16070|B7ZVY9_P20936|B7ZVY9_Q15599|B7ZVY9_Q59GK3|B7ZVY9_Q68EM7|B7ZVY9_Q96PV0|B7ZVY9_Q9Y6Q1|O14745_O43915|O14745_P05362|O14745_P08727|O14745_P13569|O14745_P15311|O14745_P16070|O14745_P16150|O14745_P42685|O14745_Q01970|O14745_Q15599|O14745_Q68EM7|O14745_Q9BXI6|O14745_Q9Y6Q1|P05362_P13569|P05362_P16070|P05362_P16150|P05362_Q15599|P07550_P13569|P07550_P48764|P08727_Q15599|P13569_P16070|P13569_P16150|P13569_Q15599|P15311_P15311|P15311_Q01970|P15311_Q9BXI6|P15311_Q9Y6Q1|P16070_P16150|P16070_Q15599|P16070_Q9BXI6|P16150_Q15599|P20936_Q9BXI6|Q15599_Q9BXI6|Q59GK3_Q9BXI6|Q68EM7_Q9BXI6|Q68EM7_Q9Y6Q1|Q96PV0_Q9BXI6|Q9BXI6_Q9Y6Q1	no (P16150,Q9Y6Q1)	part			yes	part	yes	part	yes	part	no	no	yes	part	part	no	no	no	no	no	no	part	part
1660465				P01160_P16066|P01160_P17342|P01160_P20594|P16066_P16860|P16066_P23582|P16860_P17342|P16860_P20594|P17342_P23582|P20594_P23582	no (P16066,P17342,P20594,P23582)	part			no	no	yes	part	yes	yes	no	no	no	no	yes	no	no	no	no	no	no	no	part
9892355				O95166_P18507|P14867_Q9BY60|P18507_Q9H0R8|Q71U36_Q9BY60	no (P14867,Q9BY60)	yes			yes	part	yes	part	yes	part	no	no	no	no	no	no	no	yes	part	no	no	part	part
10052460				P14653_P40424	no (P14653)	no			yes	yes	yes	yes	yes	yes	no	no	no	no	yes	no	no	no	no	no	no	no	yes
9278415				P02751_P23142|P14543_P14543|P14543_P23142|P23142_P23142	no (P14543)	no			no	no	yes	part	yes	part	no	no	no	no	part	no	no	no	no	no	no	no	part
24076655				O94888_P0CG48|O94888_Q15843|O95376_O95376|O95376_P68036|O95376_Q15369|O95376_Q15370|O95376_Q15843|O95376_Q93034|O95376_Q9UBF6|P02686_Q93034|P02686_Q9UBF6|P13727_Q93034|P13727_Q9UBF6|P24864_Q9Y4X5|P46527_Q9Y4X5|P62877_Q9Y4X5|P68036_Q15843|P68036_Q93034|P68036_Q9UBF6|P68036_Q9Y4X5|Q06587_Q92506|Q13616_Q15843|Q13616_Q9UBF6|Q13616_Q9Y4X5|Q13617_Q15369|Q13617_Q15370|Q13617_Q9Y4X5|Q13618_Q9Y4X5|Q13619_Q9Y4X5|Q15369_Q93034|Q15370_Q93034|Q15843_Q93034|Q15843_Q969M7|Q15843_Q9UBF6|Q15843_Q9Y4X5|Q92506_Q9Y4X5|Q93034_Q9UBF6|Q93034_Q9Y4X5|Q9Y4X5_Q9Y4X5	no (P13727,Q92506,Q969M7)	no			yes	part	yes	part	yes	part	yes	part	no	no	part	no	no	no	no	no	no	part	part
25686248				O75143_O75385|O75385_P02686|O75385_P13727|O75385_P42345|O75385_P42858|O75385_P54619|O75385_Q13131|O75385_Q8N122|O75385_Q8TDY2|O75385_Q9BSB4|O75385_Q9Y478|P10636_Q13501|P42345_P42858|P42345_Q13541|P42858_Q13501|Q13501_Q13501|Q13501_Q9H492	no (P13727)	no			yes	part	yes	part	yes	part	yes	part	no	no	part	no	no	no	no	no	no	part	part
8999038				P13725_P40189|P13725_P42702|P13725_Q99650|P15018_P40189|P15018_P42702|P40189_P42702|P40189_Q99650	no (P13725,Q99650)	no			yes	part	yes	part	yes	part	no	no	no	no	part	no	no	no	no	no	no	part	yes
18429820				P13533_Q8IWU2|P98082_Q9UM54|Q8IWU2_Q9UM54	no (P13533)	no			no	no	yes	part	yes	part	no	no	no	no	part	no	no	no	no	no	no	part	part
18029400				A0A0A0MRM8_Q8IWU2|A0A0D9SGC1_Q8IWU2|P13533_Q8IWU2|Q8IWU2_Q9UM54	no (P13533)	part			no	no	yes	part	yes	part	no	no	yes	part	part	no	no	no	no	no	no	no	no
19822672				A0A024R1V0_B3KPL5|A0A024R1V0_Q7Z698|A0A024R1V0_Q86U86|A0A024R1V0_Q9BR11|A0A024R1V3_A0A087WVR4|A0A024R1V3_B3KPL5|A0A024R1V3_B7Z240|A0A024R1V3_P01106|A0A024R1V3_P42566|A0A024R1V3_Q7Z698|A0A024R1V3_Q9BR11|A0A024R1V3_Q9HD26|A0A024R1V3_Q9Y6X8|A0A087WVR4_B7Z5R6|A0A087WVR4_Q14596|B3FTN5_Q9Y6X8|B3KPL5_B7Z5R6|B3KPL5_P38398|B3KPL5_Q14596|B3KPL5_Q9Y2Q5|B4DKT5_Q9Y6X8|B7Z240_B7Z5R6|B7Z240_Q14596|B7Z5R6_P01106|B7Z5R6_P42566|B7Z5R6_Q7Z698|B7Z5R6_Q9BR11|B7Z5R6_Q9HD26|B7Z5R6_Q9Y6X8|F8W930_Q9Y6X8|P01106_Q14596|P09038_Q14596|P09038_Q7Z698|P13473_Q9Y2Q5|P27361_Q14596|P27361_Q7Z698|P38398_Q7Z698|P38398_Q86U86|P38398_Q9BR11|P42566_Q14596|Q13501_Q7Z698|Q14596_Q7Z698|Q14596_Q86U86|Q14596_Q9BR11|Q14596_Q9HD26|Q14596_Q9Y6X8|Q7Z698_Q9Y2Q5|Q9Y6M1_Q9Y6X8	no (P13473,Q9BR11)	part			no	no	yes	part	yes	part	yes	part	yes	part	no	no	no	no	no	no	no	no	part
19424180				P07550_P0CG48|P07550_P13473|P07550_Q8TEY7|P07550_Q9Y2K6|P32121_Q8TEY7	no (P13473)	no			yes	part	yes	part	yes	part	no	no	yes	part	part	no	no	no	no	no	no	no	no
2398277				A0A024RCB7_B2RAL6|A0A024RCB7_P20701|B2RAL6_E9PJK1|B2RAL6_P60033|E9PJK1_P20701|P13164_P60033|P20701_P60033	no (P13164)	part			no	no	yes	part	yes	part	no	no	yes	part	part	no	no	no	no	no	no	part	no
12093804				P03372_P13056	no (P13056)	no			yes	yes	yes	yes	yes	yes	no	no	no	no	no	no	no	no	no	no	no	yes	yes
19497860				O60341_P17542|O75081_P17542|P06400_P17542|P12980_P17542|P15923_P17542|P17542_P81877|P17542_Q01196|P17542_Q12873|P17542_Q13547|P17542_Q14839|P17542_Q16576|P17542_Q86U70|P17542_Q92769|P17542_Q99081|P17542_Q9BWW4|P17542_Q9C0K0|P17542_Q9UKL0	no (P12980,P81877)	no			yes	yes	yes	part	yes	part	no	no	no	no	part	no	no	no	no	no	no	no	yes
10023675				P12980_P19838|P12980_P25963	no (P12980)	no			no	no	yes	part	yes	yes	no	no	no	no	no	no	no	no	no	no	no	no	part
16186248				A0A024R1N1_B4DKH4|A0A024R1N1_P12821|B4DKH4_P35579|P12821_P35579|P12821_P60709|P12821_P68400|P35579_P60709|P35579_P68400	no (P12821)	part			no	no	yes	part	yes	part	no	no	yes	part	no	no	no	no	no	no	no	part	part
17077303				P12821_P30411	no (P12821)	no			no	no	yes	yes	yes	yes	no	no	no	no	no	no	no	no	no	no	no	no	yes
12524539				P12544_P27695|P27695_P39687|P27695_Q01105	no (P12544)	no			no	no	yes	part	yes	part	no	no	no	no	yes	no	no	no	no	no	no	yes	yes
11909973				A0A024R895_P26583|A0A0C4DFV9_P26583|P12544_P26583|P26583_Q01105|P26583_Q5VXV3|P39687_Q01105	no (P12544)	part			no	no	yes	part	yes	part	no	no	yes	part	part	no	no	no	no	no	no	part	part
22720776				O75643_Q8IWS0|P05388_Q8IWS0|P06748_Q8IWS0|P07910_Q8IWS0|P0C0S5_Q8IWS0|P12273_Q8IWS0|P16403_Q8IWS0|P22087_Q8IWS0|P22626_Q8IWS0|P31942_Q8IWS0|P33778_Q8IWS0|P35268_Q8IWS0|P36578_Q8IWS0|P37108_Q8IWS0|P51991_Q8IWS0|P61326_Q8IWS0|P62269_Q8IWS0|P62851_Q8IWS0|P62888_Q8IWS0|P68431_Q8IWS0|Q00839_Q8IWS0|Q09028_Q8IWS0|Q12873_Q8IWS0|Q13547_Q8IWS0|Q14839_Q8IWS0|Q15366_Q8IWS0|Q16576_Q8IWS0|Q6P2Q9_Q8IWS0|Q8IWS0_Q9BQE3|Q8IWS0_Q9NX58|Q8IWS0_Q9UKM9	no (P12273,P16403,P33778,P51991,P62269,P62888,Q8IWS0,Q9UKM9)	no			no	no	yes	yes	yes	part	no	no	no	no	no	no	no	no	no	no	no	no	no
16263090				H7C2Q8_P15880|P11487_P15880|P15880_Q6IB29|P15880_Q99848	no (P11487,Q99848)	part			no	no	yes	part	yes	part	no	no	yes	part	no	no	no	no	no	no	no	no	no
7673236				P11233_Q15311|P11234_Q15311|P63000_Q15311	no (P11234)	no			no	no	yes	yes	yes	yes	no	no	no	no	part	no	no	no	no	no	no	yes	yes
19683501				O60934_Q68E01|P11182_Q96AH0|P11182_Q9BQ15|P31943_Q9BQ15|Q06830_Q9BQ15|Q68E01_Q96AH0|Q68E01_Q9BQ15|Q68E01_Q9NRY2|Q96AH0_Q9NRY2|Q9BQ15_Q9NRY2	no (P11182)	no			yes	yes	yes	part	yes	part	no	no	no	no	part	no	no	no	no	no	no	part	no
19651900				O00308_P11161	no (P11161)	no			no	no	yes	yes	yes	yes	no	no	no	no	no	no	no	no	no	no	no	no	yes
14532282				P11161_P51610|P51610_Q16254	no (P11161)	no			yes	part	yes	yes	yes	part	no	no	no	no	no	no	no	no	no	no	no	no	yes
15625236				A0A024QZF1_A0A024R0X8|A0A024QZF1_Q15649|A0A024R0X8_P37198|A0A087X2I1_A0A1U9X7S4|A0A087X2I1_E7EWK1|A0A087X2I1_Q92759|A0A087X2I1_Q9NNW7|A0A1U9X7S4_E7EWK1|A0A1U9X7S4_P62333|A0A1U9X7S4_Q9NNW7|E7EWK1_P62333|E7EWK1_Q92759|P10828_P37198|P28702_P32780|P32780_Q9NNW7|P37198_Q15649|P62333_Q92759|P62333_Q9NNW7|Q92759_Q9NNW7	no (P10828,Q9NNW7)	part			no	no	yes	part	yes	part	no	no	yes	part	no	no	no	no	no	no	no	no	part
10809664				A0A024R189_O15379|O15379_O60907|O15379_P54198|O15379_Q9BQ87|O15379_Q9Y618|O60907_O75376|O60907_P10828|O60907_Q9Y618	no (P10828,Q9BQ87)	part			no	no	yes	part	yes	part	no	no	yes	part	part	no	no	no	no	no	no	part	part
17641689				A8K840_Q71SY5|A8K840_Q92793|A8MUP8_Q71SY5|A8MUP8_Q92793|F1D8N9_Q71SY5|F1D8N9_Q92793|O75586_Q71SY5|P03372_Q71SY5|P04150_Q71SY5|P10276_P12931|P10276_P48552|P10276_Q12796|P10276_Q15648|P10276_Q15788|P10276_Q71SY5|P10276_Q92793|P10827_Q71SY5|P10828_Q71SY5|P19793_Q71SY5|P49788_Q71SY5|Q15648_Q71SY5|Q15648_Q92793|Q6I9R7_Q71SY5|Q6I9R7_Q92793|Q71SY5_Q92793|Q71SY5_Q9H2M2|Q86YD1_Q92793	no (P10828,P49788,Q86YD1)	part			yes	part	yes	part	yes	part	no	no	yes	part	part	no	no	no	no	no	no	part	part
12039952				A0A0S2Z3N3_A8K840|A0A0S2Z3N3_A8K881|A0A0S2Z3N3_A8MUP8|A0A0S2Z3N3_D2KUA6|A0A0S2Z3N3_E7EUY1|A0A0S2Z3N3_E7EWK1|A0A0S2Z3N3_E9PFX5|A0A0S2Z3N3_F1D8N3|A0A0S2Z3N3_F1D8N9|A0A0S2Z3N3_F6M2K2|A0A0S2Z3N3_F6M2K3|A0A0S2Z3N3_P10276|A0A0S2Z3N3_P37231|A0A0S2Z3N3_P38484|A0A0S2Z3N3_Q0PTK2|A0A0S2Z3N3_Q14686|A0A0S2Z3N3_Q15788|A0A0S2Z3N3_Q4W448|A0A0S2Z3N3_Q6I9R7|A0A0S2Z3N3_Q7LCB3|A0A0S2Z3N3_Q86X55|A0A0S2Z3N3_Q92731|A0A0S2Z3N3_Q9NNW7|A8K840_P55345|A8K881_P55345|A8MUP8_P55345|D2KUA6_P55345|E7EUY1_P55345|E7EWK1_P55345|E9PFX5_P55345|F1D8N3_P55345|F1D8N9_P55345|F6M2K2_P55345|F6M2K3_P55345|P03372_P55345|P06401_P55345|P06748_P55345|P10276_P55345|P10828_P55345|P19793_P55345|P37231_P55345|P38484_P55345|P55345_P55345|P55345_Q07869|P55345_Q0PTK2|P55345_Q14686|P55345_Q15788|P55345_Q4W448|P55345_Q6I9R7|P55345_Q7LCB3|P55345_Q86X55|P55345_Q8WTV0|P55345_Q92731|P55345_Q9NNW7	no (P10828,P38484,Q9NNW7)	part			yes	part	yes	part	yes	part	no	no	yes	part	no	no	no	no	no	no	no	no	part
7870181				P10828_P62195	no (P10828)	no			no	no	yes	yes	yes	yes	no	no	no	no	no	no	no	no	no	no	no	no	yes
11279242				P03372_Q96T76|P10276_Q96T76|P10828_Q96T76|Q92731_Q96T76|Q96T76_Q9Y6Q9	no (P10828)	no			no	no	yes	part	yes	yes	no	no	no	no	no	no	no	no	no	no	no	no	part
8666824				A0A024R983_P27797|A0A024R983_V9HW88|G5E9R9_P27797|G5E9R9_V9HW88|P10155_P27797|P10155_V9HW88|P11021_P19474|P19474_P27797	no (P10155)	part			no	no	yes	part	yes	part	no	no	yes	part	part	no	no	no	no	no	no	no	part
20159449				P10114_P46934|P10114_Q9UKE5|P46934_Q9UKE5	no (P10114)	no			no	no	yes	yes	yes	part	no	no	yes	part	part	no	no	no	no	no	no	no	part
16127172				P0DP23_P35125|P35125_P62158|P35125_Q9NST1	no (P0DP23,Q9NST1)	no			no	no	yes	part	yes	part	no	no	yes	part	no	no	no	no	no	no	no	no	no
11149895				A0A075B6F9_B4DJ51|A0A075B6F9_E7ETZ0|A0A075B6F9_P0DP23|A0A075B6F9_P0DP24|A0A075B6F9_P0DP25|B4DJ51_Q9Y314|E7ETZ0_Q9Y314|P0DP23_Q9Y314|P0DP24_Q9Y314|P0DP25_Q9Y314|P29474_P29474|P29474_Q9Y314|P29475_Q9Y314	no (P0DP23,P0DP24,P0DP25,Q9Y314)	part			no	no	yes	part	yes	part	no	no	yes	part	no	no	no	no	no	no	no	no	part
16760425				B4DJ51_O43303|O43303_P0DP23|O43303_P0DP24|O43303_P0DP25|O43303_P25189|O43303_P41208|O43303_P62158|O43303_Q12798|O43303_Q8ND90|O43303_Q96HY3|O43303_Q9BRL5|O43303_Q9UBB9|O95613_Q99996|P62158_Q12798	no (P0DP23,P0DP24,P0DP25,P25189)	no			yes	part	yes	part	yes	part	no	no	yes	part	part	no	no	no	no	no	no	part	part
17087506				O00257_P0DN79|O00257_P35520|O75925_P0DN79|O75925_P35520|P0DN79_P63279|P0DN79_Q96S59|P0DN79_Q9Y6X2|P35520_P63279|P35520_Q96S59|P35520_Q9Y6X2	no (P0DN79)	part			no	no	yes	part	yes	yes	no	no	no	no	no	no	no	no	no	no	no	no	no
