prot_pairs	pmids	p1	p2	DS.interest.up	DS.part_interest.up	DS.score.pred	miscore_before	miscore_after	diff	set
P27361_Q9Y296	21826244	P27361	Q9Y296	1	15	1	0	0.36784992	0.36784992	dsp
P28482_Q9Y296	21826244	P28482	Q9Y296	1	15	1	0	0.5811543	0.5811543	dsp
P29279_Q92731	21629692	P29279	Q92731	2	40	3	0	0.6256149	0.6256149	dsp
P34931_Q92731	21951318	P34931	Q92731	15	68	3	0	0.34505215	0.34505215	dsp
P35579_Q92731	21951318	P35579	Q92731	15	68	3	0.34505215	0.5267401	0.18168795	dsp
P37231_Q96EB6	20660480	P37231	Q96EB6	4	28	0	0	0.57639056	0.57639056	dsp
P38398_Q92731	21951318	P38398	Q92731	15	68	3	0	0.40116468	0.40116468	dsp
P38398_Q9BX63	22792074	P38398	Q9BX63	4	9	0	0.9378796	0.9655734	0.0276938	dsp
P38432_Q6V0K8	15862129	P38432	Q6V0K8	1	11	0	0	0.36784992	0.36784992	dsp
P38432_Q7Z6G8	15862129	P38432	Q7Z6G8	1	11	0	0	0.63894826	0.63894826	dsp
P40189_Q99650	24501689	P40189	Q99650	13	16	10	0	0.40116468	0.40116468	dsp
P42345_Q8N122	21072212|26348909	P42345	Q8N122	7	10	0	0.9815225	0.98283815	0.00131565	dsp
P42345_Q8N122	21072212|26348909	P42345	Q8N122	7	12	0	0.9815225	0.98283815	0.00131565	dsp
P49450_Q03188	19503796	P49450	Q03188	2	8	0	0	0.5079592	0.5079592	dsp
P49790_Q9UPY3	21858095	P49790	Q9UPY3	0	0	0	0	0.5575934	0.5575934	dsp
P51532_Q9Y466	28420882	P51532	Q9Y466	2	10	0	0	0.53722185	0.53722185	dsp
P52630_Q5T197	27782195	P52630	Q5T197	3	4	3	0	0.40116468	0.40116468	dsp
P55317_P84022	18003659	P55317	P84022	7	20	0	0	0.40116468	0.40116468	dsp
P58753_Q15109	21829704	P58753	Q15109	31	61	0	0	0.5575934	0.5575934	dsp
P60709_Q92731	21951318	P60709	Q92731	15	68	3	0.46174428	0.5968954	0.13515112	dsp
P60953_Q9NPB6	21311754	P60953	Q9NPB6	19	67	5	0.754952	0.8105535	0.0556015000000001	dsp
P60953_Q9UJX2	21311754	P60953	Q9UJX2	19	67	5	0	0.36784992	0.36784992	dsp
P60953_Q9UQB8	21311754	P60953	Q9UQB8	19	67	5	0.89175963	0.92729807	0.03553844	dsp
P60953_Q9Y613	21311754	P60953	Q9Y613	19	67	5	0	0.36784992	0.36784992	dsp
P62195_Q01831	17693435	P62195	Q01831	6	8	1	0	0.40116468	0.40116468	dsp
P62805_Q99873	24498420|16282588|19095693	P62805	Q99873	3	9	0	0.6230328	0.6230328	0	dsp
