Entry	input_up	Organism ID
A0A061ACQ8	A0A061ACQ8	6239
A0A061ACS5	A0A061ACS5	6239
A0A061ACS6	A0A061ACS6	6239
A0A061ACU6	A0A061ACU6	6239
A0A061ACX4	A0A061ACX4	6239
A0A061AD09	A0A061AD09	6239
A0A061AD39	A0A061AD39	6239
A0A061AD48	A0A061AD48	6239
A0A061AD72	A0A061AD72	6239
A0A061ADQ6	A0A061ADQ6	6239
A0A061ADS3	A0A061ADS3	6239
A0A061ADS9	A0A061ADS9	6239
A0A061ADY3	A0A061ADY3	6239
A0A061AE05	A0A061AE05	6239
A0A061AEC1	A0A061AEC1	6239
A0A061AIW1	A0A061AIW1	6239
A0A061AJH7	A0A061AJH7	6239
A0A061AJJ5	A0A061AJJ5	6239
A0A061AJK4	A0A061AJK4	6239
A0A061AJL2	A0A061AJL2	6239
A0A061AKN1	A0A061AKN1	6239
A0A061AKU6	A0A061AKU6	6239
A0A061AL62	A0A061AL62	6239
A0A061AL65	A0A061AL65	6239
A0A061AL87	A0A061AL87	6239
A0A068F9P7	A0A068F9P7	7955
A0A075B5P3	A0A075B5P3	10090
A0A075B5P4	A0A075B5P4	10090
A0A075B5P5	A0A075B5P5	10090
A0A075B668	A0A075B668	10090
A0A075B6P5	A0A075B6P5	9606
A0A075B6S6	A0A075B6S6	9606
A0A078BPF3	A0A078BPF3	6239
A0A078BPL2	A0A078BPL2	6239
A0A078BQJ0	A0A078BQJ0	6239
A0A078BS14	A0A078BS14	6239
A0A078BS22	A0A078BS22	6239
A0A078BS31	A0A078BS31	6239
A0A078BTJ7	A0A078BTJ7	6239
A0A078BTQ8	A0A078BTQ8	6239
A0A087WNL0	A0A087WNL0	10090
A0A087WNL4	A0A087WNL4	10090
A0A087WNM3	A0A087WNM3	10090
A0A087WNQ1	A0A087WNQ1	10090
A0A087WNR6	A0A087WNR6	10090
A0A087WNS2	A0A087WNS2	10090
A0A087WNS9	A0A087WNS9	10090
A0A087WNT2	A0A087WNT2	10090
A0A087WNT9	A0A087WNT9	10090
A0A087WNV6	A0A087WNV6	10090
A0A087WNW3	A0A087WNW3	10090
A0A087WNW8	A0A087WNW8	10090
A0A087WNY2	A0A087WNY2	10090
A0A087WP01	A0A087WP01	10090
A0A087WP07	A0A087WP07	10090
A0A087WP14	A0A087WP14	10090
A0A087WP24	A0A087WP24	10090
A0A087WP27	A0A087WP27	10090
A0A087WP33	A0A087WP33	10090
A0A087WP42	A0A087WP42	10090
A0A087WP43	A0A087WP43	10090
A0A087WP45	A0A087WP45	10090
A0A087WP48	A0A087WP48	10090
A0A087WP49	A0A087WP49	10090
A0A087WP68	A0A087WP68	10090
A0A087WP73	A0A087WP73	10090
A0A087WP85	A0A087WP85	10090
A0A087WP99	A0A087WP99	10090
A0A087WPA1	A0A087WPA1	10090
A0A087WPC3	A0A087WPC3	10090
A0A087WPF8	A0A087WPF8	10090
A0A087WPJ3	A0A087WPJ3	10090
A0A087WPL0	A0A087WPL0	10090
A0A087WPL5	A0A087WPL5	10090
A0A087WPL6	A0A087WPL6	10090
A0A087WPL8	A0A087WPL8	10090
A0A087WPM2	A0A087WPM2	10090
A0A087WPS0	A0A087WPS0	10090
A0A087WPT5	A0A087WPT5	10090
A0A087WPU8	A0A087WPU8	10090
A0A087WPV3	A0A087WPV3	10090
A0A087WPW5	A0A087WPW5	10090
A0A087WPX0	A0A087WPX0	10090
A0A087WPX1	A0A087WPX1	10090
A0A087WPY4	A0A087WPY4	10090
A0A087WPY5	A0A087WPY5	10090
A0A087WPY8	A0A087WPY8	10090
A0A087WQ16	A0A087WQ16	10090
A0A087WQ18	A0A087WQ18	10090
A0A087WQ25	A0A087WQ25	10090
A0A087WQ26	A0A087WQ26	10090
A0A087WQ27	A0A087WQ27	10090
A0A087WQ31	A0A087WQ31	10090
A0A087WQ32	A0A087WQ32	10090
A0A087WQ41	A0A087WQ41	10090
A0A087WQ53	A0A087WQ53	10090
A0A087WQ65	A0A087WQ65	10090
A0A087WQ75	A0A087WQ75	10090
A0A087WQ95	A0A087WQ95	10090
A0A087WQA6	A0A087WQA6	10090
A0A087WQB5	A0A087WQB5	10090
A0A087WQB7	A0A087WQB7	10090
A0A087WQD0	A0A087WQD0	10090
A0A087WQD7	A0A087WQD7	10090
A0A087WQE1	A0A087WQE1	10090
A0A087WQF1	A0A087WQF1	10090
A0A087WQF8	A0A087WQF8	10090
A0A087WQG4	A0A087WQG4	10090
A0A087WQH4	A0A087WQH4	10090
A0A087WQI3	A0A087WQI3	10090
A0A087WQL9	A0A087WQL9	10090
