pair_id	pmid	imex	reactome	tm_epmc	iid_pred	noncur_prot
Q9H1C4_Q9NYK1	19451267	0	1	1	1	0
P49450_Q96T23	19398759	0	1	1	1	0
P16104_Q13315	19234442	0	1	1	1	0
P48729_P49841	19107203	0	1	1	1	0
O00255_P46940	19079338	0	1	1	1	0
P12830_P46940	19079338	0	1	1	1	0
P23025_Q92466	19056823	0	1	1	1	0
P25942_Q99558	18997794	0	1	1	1	0
Q12933_Q13114	18997794	0	1	1	1	0
Q12933_Q99558	18997794	0	1	1	1	0
Q13114_Q99558	18997794	0	1	1	1	0
Q13625_Q96KQ4	18676979	0	1	1	1	0
Q13625_Q9H3D4	18676979	0	1	1	1	0
Q96KQ4_Q9H3D4	18676979	0	1	1	1	0
P08047_P36956	18654640	0	1	1	1	0
P11940_Q92900	18447585	0	1	1	1	0
O95684_P11362	18412956	0	1	1	1	0
P11362_P19174	18412956	0	1	1	1	0
O95786_Q7Z434	18307765	0	1	1	1	0
Q7Z434_Q9BYX4	18307765	0	1	1	1	0
O14662_O43752	18195106	0	1	1	1	0
O14662_O60499	18195106	0	1	1	1	0
O14662_O75379	18195106	0	1	1	1	0
O14662_Q8IWJ2	18195106	0	1	1	1	0
O43752_O75379	18195106	0	1	1	1	0
O43752_Q8IWJ2	18195106	0	1	1	1	0
O60499_Q8IWJ2	18195106	0	1	1	1	0
P20340_Q8IWJ2	18195106	0	1	1	1	0
P21579_Q8WXE9	18166656	0	1	1	1	0
P49917_Q13426	18046455	0	1	1	1	0
P49917_Q9H9Q4	18046455	0	1	1	1	0
Q13426_Q9H9Q4	18046455	0	1	1	1	0
Q8N6H7_Q8N6T3	17760859	0	1	1	1	0
Q8N6H7_Q9NP61	17760859	0	1	1	1	0
O60603_Q9NWZ3	17485511	0	1	1	1	0
O15455_Q9H1C4	17452530	0	1	1	1	0
Q9H1C4_Q9NR96	17452530	0	1	1	1	0
Q9H1C4_Q9NYK1	17452530	0	1	1	1	0
P43246_Q9UQ84	17426132	0	1	1	1	0
Q13561_Q14203	17283181	0	1	1	1	0
O14777_Q13257	17030981	0	1	1	1	0
O14777_Q92674	17030981	0	1	1	1	0
O14777_Q9BZD4	17030981	0	1	1	1	0
O14777_Q9Y6D9	17030981	0	1	1	1	0
O43683_Q92674	17030981	0	1	1	1	0
O60566_Q92674	17030981	0	1	1	1	0
P49450_Q99661	17030981	0	1	1	1	0
Q13257_Q92674	17030981	0	1	1	1	0
Q13257_Q9BZD4	17030981	0	1	1	1	0
Q92674_Q9BZD4	17030981	0	1	1	1	0
Q92674_Q9Y6D9	17030981	0	1	1	1	0
Q9BZD4_Q9Y6D9	17030981	0	1	1	1	0
P15692_P35968	17030947	0	1	1	1	0
Q7L576_Q9Y6W5	16702231	0	1	1	1	0
Q8IZP0_Q9UQB8	16702231	0	1	1	1	0
Q8IZP0_Q9Y6W5	16702231	0	1	1	1	0
Q9UQB8_Q9Y6W5	16702231	0	1	1	1	0
Q00987_Q93009	16402859	0	1	1	1	0
O14920_O43318	16301747	0	1	1	1	0
O14920_Q9UDY8	16301747	0	1	1	1	0
O14920_Q9Y6K9	16301747	0	1	1	1	0
O43318_Q9BXL7	16301747	0	1	1	1	0
O43318_Q9UDY8	16301747	0	1	1	1	0
O95999_Q9BXL7	16301747	0	1	1	1	0
O95999_Q9UDY8	16301747	0	1	1	1	0
O95999_Q9Y6K9	16301747	0	1	1	1	0
Q9BXL7_Q9UDY8	16301747	0	1	1	1	0
Q9BXL7_Q9Y6K9	16301747	0	1	1	1	0
Q9UDY8_Q9Y6K9	16301747	0	1	1	1	0
P23025_Q01831	16030353	0	1	1	1	0
Q01831_Q92466	16030353	0	1	1	1	0
P51617_Q92985	15767370	0	1	1	1	0
Q92985_Q9NR96	15767370	0	1	1	1	0
Q92985_Q9NWZ3	15767370	0	1	1	1	0
Q92985_Q9Y4K3	15767370	0	1	1	1	0
P53350_Q8N3U4	15737063	0	1	1	1	0
O95631_P43146	15557120	0	1	1	1	0
P42229_Q15303	15534001	0	1	1	1	0
P48023_Q14790	15289496	0	1	1	1	0
Q14164_Q14653	15210742	0	1	1	1	0
Q14164_Q8IUC6	15210742	0	1	1	1	0
Q14164_Q92985	15210742	0	1	1	1	0
Q14164_Q9UHD2	15210742	0	1	1	1	0
Q14653_Q9UHD2	15210742	0	1	1	1	0
Q8IUC6_Q9UHD2	15210742	0	1	1	1	0
Q92985_Q9UHD2	15210742	0	1	1	1	0
O15085_O43157	15210733	0	1	1	1	0
O15085_Q92730	15210733	0	1	1	1	0
O43157_Q92730	15210733	0	1	1	1	0
O43157_Q9NZN5	15210733	0	1	1	1	0
Q15287_Q8IYB3	15024032	0	1	1	1	0
O15105_P01137	14718519	0	1	1	1	0
O15105_P36897	14718519	0	1	1	1	0
P01137_P36897	14718519	0	1	1	1	0
Q9UHD9_Q9UMX0	14662753	0	1	1	1	0
O00206_Q14653	14517278	0	1	1	1	0
O00206_Q8IUC6	14517278	0	1	1	1	0
O00206_Q92985	14517278	0	1	1	1	0
O15455_Q14653	14517278	0	1	1	1	0
O15455_Q8IUC6	14517278	0	1	1	1	0
O15455_Q92985	14517278	0	1	1	1	0
Q14653_Q8IUC6	14517278	0	1	1	1	0
Q14653_Q92985	14517278	0	1	1	1	0
Q14653_Q9Y6Y9	14517278	0	1	1	1	0
Q8IUC6_Q92985	14517278	0	1	1	1	0
P54646_Q15831	14511394	0	1	1	1	0
P54646_Q7RTN6	14511394	0	1	1	1	0
P54646_Q9C0K7	14511394	0	1	1	1	0
P54646_Q9Y376	14511394	0	1	1	1	0
Q15831_Q9Y478	14511394	0	1	1	1	0
Q9C0K7_Q9Y478	14511394	0	1	1	1	0
P42574_P98170	12874265	0	1	1	1	0
P15692_P35968	12810700	0	1	1	1	0
O95249_Q13190	12070132	0	1	1	1	0
Q08379_Q13190	11927603	0	1	1	1	0
O14662_O75379	11839770	0	1	1	1	0
P49755_Q15363	11748249	0	1	1	1	0
Q9H2G9_Q9H8Y8	11739401	0	1	1	1	0
O60566_P30260	11535616	0	1	1	1	0
O60566_Q13257	11535616	0	1	1	1	0
Q13418_Q9NVD7	11331308	0	1	1	1	0
P39687_Q15717	11018049	0	1	1	1	0
Q92793_Q92793	10769018	0	1	1	1	0
P04049_P27361	10725339	0	1	1	1	0
O14893_P57678	10725331	0	1	1	1	0
O14893_Q16637	10725331	0	1	1	1	0
P57678_Q16637	10725331	0	1	1	1	0
Q16637_Q9UHI6	10725331	0	1	1	1	0
