pair_id_clean	ida_clean	idb_clean	pubid	taxon	OmniPath_interactions
O43293_P10275	O43293	P10275	18084323	9606	1
P10275_Q00535	Q00535	P10275	21799006	9606	1
P10275_Q00535	Q00535	P10275	15684382	9606	1
P10275_Q00535	Q00535	P10275	25982277	9606	1
P10275_Q00535	Q00535	P10275	24441043	9606	1
P10275_Q00535	Q00535	P10275	17043241	9606	1
P10275_Q00535	Q00535	P10275	17698582	9606	1
P10275_Q00535	Q00535	P10275	25851605	9606	1
P10275_Q00535	Q00535	P10275	22014572	9606	1
P10275_Q00535	Q00535	P10275	11396978	9606	1
P10275_Q00535	Q00535	P10275	25691442	9606	1
P10275_Q00535	Q00535	P10275	17325038	9606	1
P10275_Q13794	P10275	Q13794	17721441	9606	1
P08253_P10275	P10275	P08253	16888681	9606	1
P10275_P42575	P10275	P42575	16007156	9606	1
O14965_P10275	O14965	P10275	15605001	9606	1
O14965_P10275	O14965	P10275	20713353	9606	1
P10275_Q9UKG1	P10275	Q9UKG1	12621049	9606	1
P10275_Q9UKG1	Q9UKG1	P10275	12621049	9606	1
P10275_P16591	P16591	P10275	23906537	9606	1
P10275_Q16512	Q16512	P10275	17251915	9606	1
P10275_P11309	P11309	P10275	11156376	9606	1
P10275_P11309	P11309	P10275	11404460	9606	1
P10275_P11309	P11309	P10275	22584579	9606	1
P10275_P11309	P11309	P10275	14555644	9606	1
P10275_P11309	P11309	P10275	22155408	9606	1
P10275_P11309	P11309	P10275	18332867	9606	1
O43524_P10275	P10275	O43524	18391971	9606	1
P04792_P10275	P04792	P10275	19767773	9606	1
P04792_P10275	P10275	P04792	19767773	9606	1
P10275_Q99801	P10275	Q99801	8943214	9606	1
P10275_Q9Y4C1	Q9Y4C1	P10275	17363312	9606	1
P10275_Q9Y4C1	Q9Y4C1	P10275	17909537	9606	1
P10275_Q9BZK7	Q9BZK7	P10275	24243687	9606	1
P08473_P10275	P10275	P08473	11162897	9606	1
P10275_P17844	P17844	P10275	18829551	9606	1
P10275_P15309	P10275	P15309	3878148	9606	1
P10275_P21860	P10275	P21860	15542423	9606	1
P10275_P25116	P10275	P25116	15629896	9606	1
P10275_P55075	P10275	P55075	12140757	9606	1
P09086_P10275	P10275	P09086	11096094	9606	1
