pair_id_clean	ida_clean	idb_clean	pubid	taxon	OmniPath_ptm
P11511_P12931	P12931	P11511		9606	1
P12931_P23528	P12931	P23528		9606	1
P01112_P12931	P12931	P01112		9606	1
P12931_Q15654	P12931	Q15654	15988003	9606	1
P12931_Q15654	P12931	Q15654	17591779	9606	1
P12931_Q16832	P12931	Q16832	18083107	9606	1
P12931_Q16832	P12931	Q16832	-	9606	1
P12931_Q16832	P12931	Q16832		9606	1
P12931_Q86WV1	P12931	Q86WV1		9606	1
P11413_P12931	P12931	P11413		9606	1
P12931_P62158	P12931	P62158	1956339	9606	1
P01589_P12931	P12931	P01589	2941417	9606	1
P12931_P62805	P12931	P62805	1956339	9606	1
P12931_P62805	P12931	P62805	198400	9606	1
P07737_P12931	P12931	P07737		9606	1
P12931_P51812	P12931	P51812		9606	1
P12931_Q92556	P12931	Q92556		9606	1
O14920_P12931	P12931	O14920		9606	1
O14920_P12931	P12931	O14920	10195894	9606	1
O14920_P12931	P12931	O14920	10779355	9606	1
P12931_Q9NR80	P12931	Q9NR80		9606	1
P08581_P12931	P12931	P08581		9606	1
P12931_Q9UBS0	P12931	Q9UBS0		9606	1
P12931_P52564	P12931	P52564	8622669	9606	1
P12931_Q96KG7	P12931	Q96KG7		9606	1
P12931_P19404	P12931	P19404		9606	1
P12931_Q05655	P12931	Q05655		9606	1
P12931_Q05655	Q05655	P12931		9606	1
P12931_P63244	P12931	P63244	12400005	9606	1
O15492_P12931	P12931	O15492	12588871	9606	1
P12931_P49407	P12931	P49407	17456469	9606	1
P12931_P49407	P12931	P49407	9388255	9606	1
P12931_P49407	P12931	P49407	10347142	9606	1
P12931_P42684	P12931	P42684	12748290	9606	1
P12931_P42684	P12931	P42684	12522270	9606	1
P12931_P42684	P12931	P42684	18083107	9606	1
P12931_P42684	P12931	P42684	19534553	9606	1
O15056_P12931	P12931	O15056		9606	1
P12931_P46527	P12931	P46527	16195327	9606	1
P12931_P46527	P12931	P46527	17254967	9606	1
P12931_P46527	P12931	P46527	12042314	9606	1
P12931_P46527	P12931	P46527	14504289	9606	1
P12931_P46527	P12931	P46527	10831586	9606	1
P12931_P46527	P12931	P46527	15735731	9606	1
P12931_P49418	P12931	P49418	11113134	9606	1
P12931_P13688	P12931	P13688		9606	1
P12931_Q03135	P12931	Q03135	12921535	9606	1
P12931_Q03135	P12931	Q03135	15219854	9606	1
P12931_Q03135	P12931	Q03135	11078729	9606	1
P12931_Q03135	P12931	Q03135	8058322	9606	1
A1X283_P12931	P12931	A1X283		9606	1
P09619_P12931	P12931	P09619		9606	1
P09619_P12931	P09619	P12931		9606	1
P12931_Q9Y3Q4	P12931	Q9Y3Q4		9606	1
P08238_P12931	P12931	P08238		9606	1
O15530_P12931	P12931	O15530	14585963	9606	1
O15530_P12931	P12931	O15530	16314505	9606	1
O15530_P12931	P12931	O15530	11481331	9606	1
O15530_P12931	P12931	O15530		9606	1
P12931_P22681	P12931	P22681		9606	1
P12931_P22681	P12931	P22681	14739300	9606	1
P12931_Q9UK17	P12931	Q9UK17		9606	1
P12931_Q8IZL8	P12931	Q8IZL8		9606	1
P12931_P50402	P12931	P50402		9606	1
O43597_P12931	P12931	O43597	15564375	9606	1
P10721_P12931	P12931	P10721	12878163	9606	1
P00519_P12931	P12931	P00519		9606	1
P12931_P50281	P12931	P50281		9606	1
O15117_P12931	P12931	O15117		9606	1
P12931_Q13444	P12931	Q13444	11741929	9606	1
P12931_P16662	P12931	P16662		9606	1
P12931_Q9NWQ8	P12931	Q9NWQ8		9606	1
P12931_P26010	P12931	P26010		9606	1
P12931_P15529	P12931	P15529		9606	1
P12318_P12931	P12931	P12318		9606	1
P12318_P12931	P12931	P12318	8756631	9606	1
P12318_P12931	P12931	P12318	18083107	9606	1
P12931_Q9H5V8	P12931	Q9H5V8		9606	1
P12931_P52757	P12931	P52757		9606	1
P12931_Q99961	P12931	Q99961	16054026	9606	1
P12931_P17612	P17612	P12931		9606	1
P12931_Q13285	P12931	Q13285	15523052	9606	1
P12931_Q13285	P12931	Q13285	10230405	9606	1
P12931_P46459	P12931	P46459	15322554	9606	1
P04049_P12931	P12931	P04049	-	9606	1
P04049_P12931	P12931	P04049	10205168	9606	1
P04049_P12931	P12931	P04049		9606	1
P04049_P12931	P12931	P04049	12801936	9606	1
P04049_P12931	P12931	P04049	9091312	9606	1
P04049_P12931	P12931	P04049	11971957	9606	1
P12931_Q3V6T2	P12931	Q3V6T2		9606	1
P04083_P12931	P12931	P04083	2457390	9606	1
P04083_P12931	P12931	P04083	15485879	9606	1
P04083_P12931	P12931	P04083	1956339	9606	1
O75116_P12931	P12931	O75116	18559669	9606	1
O75116_P12931	P12931	O75116	20826462	9606	1
P12931_P31749	P12931	P31749	12149249	9606	1
P12931_P62993	P12931	P62993		9606	1
P12931_Q07912	P12931	Q07912	20333297	9606	1
P12931_Q07912	P12931	Q07912	20979614	9606	1
P12931_Q07912	P12931	Q07912	17389395	9606	1
P12931_Q07912	P12931	Q07912	21309750	9606	1
P12931_Q07912	P12931	Q07912	21169560	9606	1
P12931_Q07912	P12931	Q07912	15308621	9606	1
P12931_Q07912	P12931	Q07912	19369195	9606	1
P12931_Q07912	P12931	Q07912	16472662	9606	1
P12931_Q07912	P12931	Q07912	20623637	9606	1
P12931_P21453	P12931	P21453	11583630	9606	1
P12931_Q15746	P12931	Q15746	12408982	9606	1
P12931_Q15746	P12931	Q15746	20861316	9606	1
P12931_Q15746	P12931	Q15746	11113114	9606	1
O75886_P12931	P12931	O75886	10993906	9606	1
O75886_P12931	P12931	O75886	11687594	9606	1
P12931_P30556	P12931	P30556	12522132	9606	1
P12931_Q9HBA0	P12931	Q9HBA0		9606	1
P10301_P12931	P12931	P10301	11682467	9606	1
P12931_P36544	P12931	P36544	16251431	9606	1
P12931_P36544	P12931	P36544		9606	1
P12931_P51636	P12931	P51636	15504032	9606	1
P12931_P51636	P12931	P51636	17081983	9606	1
P12931_P51636	P12931	P51636	12743374	9606	1
P12931_Q16625	P12931	Q16625		9606	1
P12931_P52732	P12931	P52732	8548803	9606	1
P12931_P52732	P12931	P52732	9235942	9606	1
P06454_P12931	P12931	P06454	9099694	9606	1
P06454_P12931	P12931	P06454	1426245	9606	1
P02489_P12931	P12931	P02489	12060738	9606	1
P08922_P12931	P12931	P08922	15456853	9606	1
P11277_P12931	P12931	P11277	15065869	9606	1
P12931_Q8WUM4	P12931	Q8WUM4		9606	1
P12931_P60953	P12931	P60953	14506284	9606	1
P01350_P12931	P12931	P01350	8578591	9606	1
P12931_Q9NYF8	P12931	Q9NYF8		9606	1
P12931_Q9NYF8	P12931	Q9NYF8	17570479	9606	1
P12931_P20810	P12931	P20810	1995645	9606	1
P06733_P12931	P12931	P06733	8578591	9606	1
P12931_P41970	P12931	P41970	11042694	9606	1
P07384_P12931	P12931	P07384	12843408	9606	1
P12931_Q13232	P12931	Q13232	11042679	9606	1
P12931_P31994	P12931	P31994	8756631	9606	1
P12931_Q9C004	P12931	Q9C004	15584898	9606	1
P12931_P62807	P12931	P62807	192223	9606	1
P12931_P62807	P12931	P62807	1137958	9606	1
P12931_Q9UQ49	P12931	Q9UQ49	12730204	9606	1
P07307_P12931	P12931	P07307	1924301	9606	1
P12931_Q13255	P12931	Q13255	10823959	9606	1
P12931_P98172	P12931	P98172		9606	1
O95394_P12931	P12931	O95394	11004509	9606	1
O15446_P12931	P12931	O15446	10373416	9606	1
P01889_P12931	P12931	P01889	6430898	9606	1
P01889_P12931	P12931	P01889	1956339	9606	1
P07316_P12931	P12931	P07316	12060738	9606	1
P12931_P30443	P12931	P30443	6304688	9606	1
P12931_P30443	P12931	P30443	6333425	9606	1
P07315_P12931	P12931	P07315	12060738	9606	1
P12931_P52888	P12931	P52888	10969067	9606	1
P12931_P31995	P12931	P31995	8756631	9606	1
P12931_P31995	P12931	P31995	18083107	9606	1
P12931_Q9NV92	P12931	Q9NV92	20534535	9606	1
P12931_Q6PIZ9	P12931	Q6PIZ9		9606	1
P11488_P12931	P12931	P11488	11032890	9606	1
P12931_Q15642	P12931	Q15642		9606	1
P12931_Q8IVP5	P12931	Q8IVP5	22267086	9606	1
A6NMY6_P12931	P12931	A6NMY6	19534553	9606	1
O15287_P06493	P06493	O15287	15367677	9606	1
P06702_P30291	P30291	P06702	2478889	9606	1
P06702_Q16539	Q16539	P06702		9606	1
P04150_P27361	P27361	P04150		9606	1
P04150_Q00535	Q00535	P04150		9606	1
P04150_Q8TD08	Q8TD08	P04150		9606	1
P04150_Q16539	Q16539	P04150		9606	1
P04150_P17252	P17252	P04150	2019585	9606	1
P04150_P17252	P17252	P04150	7873448	9606	1
P04150_P49841	P49841	P04150		9606	1
P04150_P78527	P78527	P04150		9606	1
P04150_P78527	P78527	P04150	9038175	9606	1
P04150_P78527	P78527	P04150	2019585	9606	1
P04150_P78527	P78527	P04150	7873448	9606	1
P04150_P78527	P78527	P04150	15817653	9606	1
P04150_P78527	P78527	P04150	12000743	9606	1
P04150_P78527	P78527	P04150	12351702	9606	1
P04150_P78527	P78527	P04150	9199329	9606	1
P04150_P31749	P31749	P04150		9606	1
P11362_P52630	P11362	P52630	7532278	9606	1
P04637_Q09472	Q09472	P04637		9606	1
P50750_Q09472	Q09472	P50750	18250157	9606	1
P50750_Q09472	Q09472	P50750	17452463	9606	1
Q09472_Q13131	Q13131	Q09472		9606	1
Q09472_Q16566	Q16566	Q09472	12590608	9606	1
Q09472_Q16566	Q16566	Q09472	11020388	9606	1
Q09472_Q16566	Q16566	Q09472	15006641	9606	1
P28482_Q09472	P28482	Q09472		9606	1
P28562_Q09472	Q09472	P28562		9606	1
P54646_Q09472	P54646	Q09472	11518699	9606	1
Q05655_Q09472	Q05655	Q09472		9606	1
Q05655_Q09472	Q05655	Q09472	11116148	9606	1
P17252_Q09472	P17252	Q09472	12590608	9606	1
P17252_Q09472	P17252	Q09472		9606	1
P84243_Q09472	Q09472	P84243		9606	1
P31751_Q09472	P31751	Q09472		9606	1
P00519_Q09472	Q09472	P00519	16648821	9606	1
P31749_Q09472	P31749	Q09472		9606	1
O15105_Q09472	Q09472	O15105		9606	1
Q09472_Q86X55	Q86X55	Q09472	11701890	9606	1
Q09472_Q86X55	Q86X55	Q09472	15731352	9606	1
P35869_P68400	P68400	P35869	14985336	9606	1
P17252_P35869	P17252	P35869	15063792	9606	1
P17252_P35869	P17252	P35869	11032419	9606	1
P11387_P68400	P68400	P11387		9606	1
P06493_P11387	P06493	P11387		9606	1
P00519_P11387	P00519	P11387	15448168	9606	1
Q00535_Q02078	Q00535	Q02078	16371476	9606	1
Q00535_Q02078	Q00535	Q02078	12586839	9606	1
Q00535_Q02078	Q00535	Q02078	16484498	9606	1
Q00535_Q02078	Q00535	Q02078	12691662	9606	1
Q00535_Q02078	Q00535	Q02078		9606	1
Q02078_Q16539	Q16539	Q02078	12586839	9606	1
Q02078_Q16539	Q16539	Q02078	10330143	9606	1
Q02078_Q16539	Q16539	Q02078	17785444	9606	1
Q02078_Q16539	Q16539	Q02078	10849446	9606	1
Q02078_Q16539	Q16539	Q02078	9858528	9606	1
Q02078_Q16539	Q16539	Q02078		9606	1
Q02078_Q16539	Q16539	Q02078	18669648	9606	1
P68400_Q02078	P68400	Q02078	12586839	9606	1
Q02078_Q13164	Q13164	Q02078	12586839	9606	1
Q02078_Q13164	Q13164	Q02078	10330143	9606	1
Q02078_Q13164	Q13164	Q02078	10849446	9606	1
Q02078_Q13164	Q13164	Q02078	9858528	9606	1
Q02078_Q13164	Q13164	Q02078	17785444	9606	1
Q02078_Q13164	Q13164	Q02078		9606	1
Q02078_Q9UBE8	Q9UBE8	Q02078	12586839	9606	1
Q02078_Q9UBE8	Q9UBE8	Q02078	10330143	9606	1
Q02078_Q9UBE8	Q9UBE8	Q02078	17785444	9606	1
Q02078_Q9UBE8	Q9UBE8	Q02078	10849446	9606	1
Q02078_Q9UBE8	Q9UBE8	Q02078	9858528	9606	1
P24941_P38936	P24941	P38936	15964852	9606	1
P24941_P38936	P24941	P38936	12730199	9606	1
P24941_P38936	P24941	P38936	11756412	9606	1
P38936_Q9Y463	Q9Y463	P38936	15851482	9606	1
P38936_Q9Y463	Q9Y463	P38936		9606	1
P28482_P38936	P28482	P38936		9606	1
P28482_P38936	P28482	P38936	19364816	9606	1
P38936_Q99683	Q99683	P38936	17325029	9606	1
P38936_Q99683	Q99683	P38936	12058028	9606	1
P38936_Q9P1W9	Q9P1W9	P38936		9606	1
P38936_Q16539	Q16539	P38936		9606	1
P11309_P38936	P11309	P38936	17855660	9606	1
P38936_Q13535	Q13535	P38936	12058028	9606	1
P17252_P38936	P17252	P38936		9606	1
P17252_P38936	P17252	P38936	11756412	9606	1
P17252_P38936	P17252	P38936	11463845	9606	1
P17252_P38936	P17252	P38936	16982699	9606	1
P17252_P38936	P17252	P38936	15001356	9606	1
P17252_P38936	P17252	P38936	10753973	9606	1
P38936_P49841	P49841	P38936	17283049	9606	1
P38936_P49841	P49841	P38936	11779850	9606	1
P38936_Q00534	Q00534	P38936		9606	1
P68400_Q15653	P68400	Q15653		9606	1
Q15418_Q15653	Q15418	Q15653	16822942	9606	1
Q15418_Q15653	Q15418	Q15653	9278383	9606	1
P78527_Q14191	P78527	Q14191		9606	1
P24941_P51587	P24941	P51587	15800615	9606	1
P51587_P53350	P53350	P51587		9606	1
O14757_P51587	O14757	P51587	18317453	9606	1
O96017_P51587	O96017	P51587	18317453	9606	1
P06493_P51587	P06493	P51587	15800615	9606	1
P23458_P42224	P23458	P42224	7543024	9606	1
P17706_P42224	P17706	P42224		9606	1
P42224_Q16539	Q16539	P42224	15322115	9606	1
P42224_Q16539	Q16539	P42224	19690332	9606	1
P42224_Q16539	Q16539	P42224	18669648	9606	1
P42224_Q16539	Q16539	P42224	7543024	9606	1
P42224_Q16539	Q16539	P42224	17897103	9606	1
P42224_Q16539	Q16539	P42224	18691976	9606	1
P42224_Q14164	Q14164	P42224		9606	1
P42224_Q13554	Q13554	P42224		9606	1
P42224_P52333	P52333	P42224		9606	1
P24941_Q08999	P24941	Q08999	11157749	9606	1
P24941_Q08999	P24941	Q08999	11042701	9606	1
P28482_Q08999	P28482	Q08999	11157749	9606	1
Q00534_Q08999	Q00534	Q08999	11157749	9606	1
Q00534_Q08999	Q00534	Q08999		9606	1
Q00534_Q08999	Q00534	Q08999	11042701	9606	1
Q00534_Q08999	Q00534	Q08999	12023960	9606	1
Q16539_Q92993	Q16539	Q92993		9606	1
P46531_Q92993	Q92993	P46531		9606	1
P49841_Q92993	P49841	Q92993		9606	1
Q01130_Q92993	Q92993	Q01130		9606	1
P00519_Q92993	P00519	Q92993		9606	1
P08047_P27361	P27361	P08047		9606	1
P08047_P45983	P45983	P08047	-	9606	1
P08047_P45983	P45983	P08047		9606	1
P08047_P28482	P28482	P08047		9606	1
P08047_P28482	P28482	P08047	9153193	9606	1
P08047_P68400	P68400	P08047		9606	1
P08047_Q13535	Q13535	P08047		9606	1
P06493_P08047	P06493	P08047		9606	1
P08047_P31749	P31749	P08047		9606	1
P48736_Q01105	P48736	Q01105		9606	1
P68400_Q01105	P68400	Q01105		9606	1
P05129_P06730	P05129	P06730		9606	1
P06730_Q9HBH9	Q9HBH9	P06730		9606	1
P06730_Q9HBH9	Q9HBH9	P06730	3112145	9606	1
P06730_P30291	P30291	P06730	7782323	9606	1
P06730_P30291	P30291	P06730	11723111	9606	1
P06730_P67775	P67775	P06730		9606	1
P06730_Q9BUB5	Q9BUB5	P06730		9606	1
P06730_P17252	P17252	P06730		9606	1
P05771_P06730	P05771	P06730		9606	1
O00327_P49841	P49841	O00327		9606	1
Q06330_Q16539	Q16539	Q06330		9606	1
P05129_P07900	P05129	P07900		9606	1
P07900_P34947	P34947	P07900	2492519	9606	1
P07900_P19784	P19784	P07900		9606	1
P07900_P30291	P30291	P07900		9606	1
P07900_P68400	P68400	P07900		9606	1
P07900_P68400	P68400	P07900	2492519	9606	1
P07900_P68400	P68400	P07900	2507541	9606	1
P07900_Q6P2M8	Q6P2M8	P07900		9606	1
P07900_P78527	P78527	P07900		9606	1
P07900_P78527	P78527	P07900	2507541	9606	1
P07900_P78527	P78527	P07900	2492519	9606	1
P07900_P17612	P17612	P07900		9606	1
P08069_P28482	P28482	P08069	8972223	9606	1
P07550_P08069	P08069	P07550	8910597	9606	1
P08069_P78324	P08069	P78324		9606	1
P08069_P62136	P08069	P62136	10880350	9606	1
P08069_P62136	P08069	P62136	12202491	9606	1
P08069_P43250	P43250	P08069		9606	1
O15530_P08069	P08069	O15530		9606	1
P53350_Q99741	P53350	Q99741		9606	1
P37173_P38398	P37173	P38398	10550055	9606	1
P17813_P37173	P37173	P17813		9606	1
P25445_P33981	P33981	P25445	17195092	9606	1
P25445_P33981	P33981	P25445	15660394	9606	1
P31751_Q14315	P31751	Q14315		9606	1
P12830_P68400	P68400	P12830		9606	1
P12830_P48730	P48730	P12830	17353278	9606	1
P12830_P49841	P49841	P12830		9606	1
P00533_P35222	P00533	P35222		9606	1
P35222_Q15139	Q15139	P35222		9606	1
P35222_P45983	P45983	P35222		9606	1
P35222_Q9UQM7	Q9UQM7	P35222		9606	1
P35222_Q00535	Q00535	P35222	17009320	9606	1
P19784_P35222	P19784	P35222		9606	1
P35222_P49674	P49674	P35222		9606	1
P35222_Q13882	Q13882	P35222	20026641	9606	1
P35222_Q13882	Q13882	P35222	12640114	9606	1
P35222_Q13882	Q13882	P35222		9606	1
P35222_P53350	P53350	P35222		9606	1
P35222_Q8N752	Q8N752	P35222		9606	1
P35222_P49840	P49840	P35222		9606	1
P35222_P68400	P68400	P35222	12700239	9606	1
P35222_P68400	P68400	P35222	12051714	9606	1
P35222_P68400	P68400	P35222	12000790	9606	1
P16591_P35222	P16591	P35222		9606	1
P35222_P48730	P48730	P35222		9606	1
O96013_P35222	O96013	P35222		9606	1
P04626_P35222	P04626	P35222		9606	1
P35222_P53778	P53778	P35222		9606	1
P35222_Q13554	Q13554	P35222		9606	1
P35222_Q13153	Q13153	P35222		9606	1
A9UF07_P35222	A9UF07	P35222		9606	1
P06241_P35222	P06241	P35222	12640114	9606	1
P06241_P35222	P06241	P35222	20026641	9606	1
P06241_P35222	P06241	P35222	12432063	9606	1
P31751_P35222	P31751	P35222		9606	1
P00519_P35222	P00519	P35222		9606	1
P35222_P45984	P45984	P35222		9606	1
P17612_P35222	P17612	P35222		9606	1
P04629_P35222	P04629	P35222		9606	1
P31749_P35222	P31749	P35222		9606	1
P13010_P78527	P78527	P13010	10026262	9606	1
P13010_P78527	P78527	P13010		9606	1
P00533_P29353	P00533	P29353		9606	1
P00533_P15311	P00533	P15311	1382070	9606	1
P00533_P19174	P00533	P19174	1689310	9606	1
P00533_P19174	P00533	P19174		9606	1
P00533_Q15139	Q15139	P00533	10523301	9606	1
P00533_Q15139	Q15139	P00533	17192257	9606	1
P00533_Q15139	Q15139	P00533	18220336	9606	1
P00533_Q15139	Q15139	P00533	15302935	9606	1
P00533_Q15139	Q15139	P00533	17081983	9606	1
P00533_Q15139	Q15139	P00533	3138233	9606	1
P00533_Q15139	Q15139	P00533	18669648	9606	1
P00533_Q15139	Q15139	P00533	19413330	9606	1
P00533_Q15139	Q15139	P00533	18691976	9606	1
P00533_Q15139	Q15139	P00533	19369195	9606	1
P00533_Q15139	Q15139	P00533	16083266	9606	1
P00533_P27361	P27361	P00533	1939237	9606	1
P00533_Q92529	P00533	Q92529		9606	1
P00533_Q9UQM7	Q9UQM7	P00533	10347170	9606	1
P00533_Q9UQM7	Q9UQM7	P00533		9606	1
P00533_Q9UQM7	Q9UQM7	P00533	1956339	9606	1
P00533_P12004	P00533	P12004	17115032	9606	1
O60674_P00533	P00533	O60674		9606	1
P00533_P28482	P28482	P00533	1939237	9606	1
P00533_Q38SD2	P00533	Q38SD2		9606	1
O15455_P00533	P00533	O15455		9606	1
P00533_Q8NFJ5	P00533	Q8NFJ5		9606	1
O14939_P00533	P00533	O14939		9606	1
P00533_P24844	P00533	P24844	8578591	9606	1
P00533_P24844	P00533	P24844	2526655	9606	1
P00533_Q9UBN7	P00533	Q9UBN7		9606	1
P00533_Q16539	Q16539	P00533		9606	1
P00533_P51692	P00533	P51692	11751923	9606	1
P00533_Q8TDY4	P00533	Q8TDY4		9606	1
P00533_Q16512	Q16512	P00533		9606	1
P00533_Q9UKV8	P00533	Q9UKV8		9606	1
P00533_Q13480	P00533	Q13480	9890893	9606	1
P00533_Q13480	P00533	Q13480	10734310	9606	1
P00533_Q13480	P00533	Q13480		9606	1
P00533_P09211	P00533	P09211	19254954	9606	1
P00533_P09211	P00533	P09211		9606	1
P00533_P04626	P00533	P04626		9606	1
P00533_P04626	P00533	P04626	15695410	9606	1
P00533_P15941	P00533	P15941	11483589	9606	1
P00533_P19544	P00533	P19544	11237525	9606	1
P00533_P11362	P00533	P11362	9880324	9606	1
P00533_P11362	P00533	P11362	12601080	9606	1
P00533_Q15759	Q15759	P00533		9606	1
P00533_P51812	P00533	P51812	10980595	9606	1
P00533_Q8IVM0	P00533	Q8IVM0		9606	1
P00533_Q14457	P00533	Q14457		9606	1
P00533_P24928	P00533	P24928	14662762	9606	1
P00533_P24928	P00533	P24928	14517250	9606	1
P00533_P06493	P06493	P00533	8360196	9606	1
P00533_P17252	P17252	P00533	1860884	9606	1
P00533_P17252	P17252	P00533	6090944	9606	1
P00533_P17252	P17252	P00533	7805884	9606	1
P00533_P17252	P17252	P00533	1309762	9606	1
P00533_P17252	P17252	P00533	7505275	9606	1
P00533_P17252	P17252	P00533	3138233	9606	1
P00533_P17252	P17252	P00533	1956339	9606	1
P00533_P22681	P00533	P22681		9606	1
P00533_P29474	P00533	P29474	16126727	9606	1
P00533_P29474	P00533	P29474	12171920	9606	1
P00533_P29474	P00533	P29474	12791703	9606	1
P00533_P29474	P00533	P29474	16043647	9606	1
P00533_P29474	P00533	P29474	12446767	9606	1
P00533_P29474	P00533	P29474	10376603	9606	1
P00533_P29474	P00533	P29474	12501214	9606	1
P00519_P00533	P00519	P00533		9606	1
P00533_Q13555	Q13555	P00533		9606	1
P00533_Q02156	Q02156	P00533		9606	1
P00533_P48050	P00533	P48050		9606	1
P00533_P33981	P33981	P00533	11983694	9606	1
P00533_P04083	P00533	P04083	2457390	9606	1
P00533_P04083	P00533	P04083	17081983	9606	1
P00533_P31749	P31749	P00533		9606	1
P00533_P62993	P00533	P62993	11726515	9606	1
P00533_P18031	P00533	P18031	9355745	9606	1
P00533_P18031	P00533	P18031	8491187	9606	1
P00533_Q92952	P00533	Q92952		9606	1
P00533_P21860	P00533	P21860		9606	1
O14964_P00533	P00533	O14964	12953068	9606	1
O14964_P00533	P00533	O14964	11687594	9606	1
P00533_P20936	P00533	P20936	1850098	9606	1
P00533_P11217	P00533	P11217	1140412	9606	1
P00533_P61925	P00533	P61925	1956339	9606	1
P27361_P37231	P27361	P37231		9606	1
P37231_Q00535	Q00535	P37231		9606	1
P17181_Q16539	Q16539	P17181		9606	1
P17181_P48729	P48729	P17181		9606	1
P24941_P28749	P24941	P28749	11884610	9606	1
P24941_P28749	P24941	P28749		9606	1
P24941_P28749	P24941	P28749	19690332	9606	1
P28749_Q02750	Q02750	P28749	12006580	9606	1
P50613_Q01094	P50613	Q01094	10428966	9606	1
P50613_Q01094	P50613	Q01094		9606	1
O14757_Q01094	O14757	Q01094		9606	1
O96017_Q01094	O96017	Q01094	12717439	9606	1
O96017_Q01094	O96017	Q01094		9606	1
Q01094_Q13535	Q13535	Q01094	11459832	9606	1
P06493_Q01094	P06493	Q01094	8087847	9606	1
P49336_Q01094	P49336	Q01094		9606	1
P49841_Q01094	P49841	Q01094		9606	1
P32780_Q01094	P32780	Q01094		9606	1
P29353_P45983	P45983	P29353	16251354	9606	1
P29353_P45983	P45983	P29353	15837797	9606	1
P29353_P45983	P45983	P29353	8610109	9606	1
P29353_P45983	P45983	P29353	9741627	9606	1
P29353_P45983	P45983	P29353	11075717	9606	1
P29353_Q16539	Q16539	P29353		9606	1
P29353_P43405	P43405	P29353	9710204	9606	1
P29353_P43405	P43405	P29353		9606	1
P29353_P43405	P43405	P29353	16251354	9606	1
P29353_P35916	P35916	P29353	9927207	9606	1
P29353_P35916	P35916	P29353		9606	1
P17948_P29353	P17948	P29353		9606	1
P29353_P36888	P36888	P29353		9606	1
P29353_P52333	P52333	P29353		9606	1
P08581_P29353	P08581	P29353		9606	1
P06241_P29353	P06241	P29353		9606	1
P29353_Q05655	Q05655	P29353		9606	1
P29353_P43403	P43403	P29353		9606	1
P29353_P43403	P29353	P43403		9606	1
P09619_P29353	P09619	P29353		9606	1
P29353_Q05209	Q05209	P29353		9606	1
P04629_P29353	P04629	P29353		9606	1
Q01113_Q13535	Q13535	Q01113	10642536	9606	1
Q01113_Q13535	Q13535	Q01113	8756628	9606	1
P24941_Q99638	P24941	Q99638		9606	1
Q99638_Q9UKI8	Q9UKI8	Q99638	18940270	9606	1
Q99638_Q9UKI8	Q9UKI8	Q99638		9606	1
Q99638_Q9UKI8	Q9UKI8	Q99638	12709442	9606	1
P68400_Q99638	P68400	Q99638		9606	1
P06493_Q99638	P06493	Q99638	12709442	9606	1
P06493_Q99638	P06493	Q99638	12734188	9606	1
P15311_P41743	P41743	P15311		9606	1
P15311_P25098	P25098	P15311	15843435	9606	1
P15311_P16591	P16591	P15311		9606	1
P15311_P41279	P41279	P15311		9606	1
P15311_Q9P289	Q9P289	P15311		9606	1
P15311_P31751	P31751	P15311	15531580	9606	1
P15311_P17612	P17612	P15311		9606	1
P04637_P24941	P24941	P04637		9606	1
P06400_P24941	P24941	P06400		9606	1
P06400_P24941	P24941	P06400	10499802	9606	1
P17096_P24941	P24941	P17096		9606	1
P24941_Q9UQR0	P24941	Q9UQR0		9606	1
P12272_P24941	P24941	P12272		9606	1
P24941_P49795	P24941	P49795	10993892	9606	1
P24941_Q03060	P24941	Q03060	8404858	9606	1
P20248_P24941	P24941	P20248		9606	1
P24941_P50750	P50750	P24941	1396589	9606	1
P24941_P50750	P50750	P24941	7743995	9606	1
P24941_P50750	P50750	P24941	10085115	9606	1
P24941_P50750	P50750	P24941	8443411	9606	1
P24941_P50750	P50750	P24941	14597612	9606	1
P24941_Q13309	P24941	Q13309		9606	1
P24941_Q9UM11	P24941	Q9UM11		9606	1
P24941_P31350	P24941	P31350		9606	1
P24941_P28482	P28482	P24941		9606	1
P24941_P30291	P24941	P30291		9606	1
P24941_P30291	P30291	P24941		9606	1
P24941_Q99708	P24941	Q99708		9606	1
P24941_Q15717	P24941	Q15717		9606	1
P24864_P24941	P24941	P24864	14536078	9606	1
P24864_P24941	P24941	P24864		9606	1
P24941_Q16204	P24941	Q16204		9606	1
P24941_Q6P1N0	P24941	Q6P1N0		9606	1
P02545_P24941	P24941	P02545		9606	1
P24941_P38398	P24941	P38398		9606	1
P24941_P25054	P24941	P25054		9606	1
P24941_P50613	P50613	P24941		9606	1
P24941_Q01167	P24941	Q01167		9606	1
P24941_P25098	P24941	P25098		9606	1
P24941_P30307	P24941	P30307		9606	1
P10644_P24941	P24941	P10644		9606	1
P24941_Q9NP87	P24941	Q9NP87		9606	1
O75179_P24941	P24941	O75179		9606	1
O00311_P24941	P24941	O00311		9606	1
P24941_P33991	P24941	P33991	12714602	9606	1
P24941_P33991	P24941	P33991		9606	1
P24941_Q02539	P24941	Q02539		9606	1
P24941_Q02539	P24941	Q02539	7499230	9606	1
P24941_Q12778	P24941	Q12778		9606	1
P24941_Q8WUM0	P24941	Q8WUM0		9606	1
P24941_Q13352	P24941	Q13352		9606	1
P24941_Q9UGP5	P24941	Q9UGP5		9606	1
P24941_Q08050	P24941	Q08050		9606	1
P24941_Q08050	P24941	Q08050	15024056	9606	1
P24941_Q06830	P24941	Q06830		9606	1
