pair_id_clean	ida_clean	idb_clean	pubid	taxon	OmniPath_ptm
P07948_P40259	P07948	P40259		9606	1
O60711_P07948	P07948	O60711	17640867	9606	1
O60711_P07948	P07948	O60711	20543562	9606	1
P07948_P31994	P07948	P31994	8756631	9606	1
P07948_P11168	P07948	P11168	8626492	9606	1
P07948_P11912	P07948	P11912		9606	1
P07948_P11912	P07948	P11912	11909947	9606	1
P07948_P30443	P07948	P30443	2941417	9606	1
P07948_P30443	P07948	P30443	6333425	9606	1
P07948_P31995	P07948	P31995		9606	1
P07948_P31995	P07948	P31995	8756631	9606	1
P10275_Q13043	Q13043	P10275	21512132	9606	1
P10275_P12931	P12931	P10275		9606	1
P10275_P45983	P45983	P10275		9606	1
P10275_P50750	P50750	P10275	20980437	9606	1
P10275_Q00535	Q00535	P10275		9606	1
P10275_P28482	P28482	P10275		9606	1
O14965_P10275	O14965	P10275		9606	1
P10275_P50613	P50613	P10275		9606	1
P10275_P16591	P16591	P10275		9606	1
P10275_P11309	P11309	P10275		9606	1
P10275_Q9NQU5	Q9NQU5	P10275		9606	1
P06493_P10275	P06493	P10275		9606	1
P10275_P31749	P31749	P10275		9606	1
P10275_Q07912	Q07912	P10275	20623637	9606	1
P10275_Q07912	Q07912	P10275	17045208	9606	1
P10275_Q07912	Q07912	P10275	17494760	9606	1
P12931_Q14790	P12931	Q14790		9606	1
P27361_Q14790	P27361	Q14790		9606	1
P28482_Q14790	P28482	Q14790		9606	1
Q14790_Q16539	Q16539	Q14790	14970175	9606	1
Q14790_Q16539	Q16539	Q14790		9606	1
Q13546_Q14790	Q14790	Q13546		9606	1
P06493_Q14790	P06493	Q14790	20937773	9606	1
P06493_Q14790	P06493	Q14790		9606	1
P55957_Q14790	Q14790	P55957		9606	1
P08069_P08107	P08069	P08107	10843914	9606	1
P21333_Q9UQM7	Q9UQM7	P21333		9606	1
P21333_Q15418	Q15418	P21333		9606	1
P21333_Q13153	Q13153	P21333	12198493	9606	1
P21333_Q13153	Q13153	P21333		9606	1
P06241_P21333	P06241	P21333	11290523	9606	1
P06241_P21333	P06241	P21333	15024089	9606	1
P06493_P21333	P06493	P21333		9606	1
P21333_Q13555	Q13555	P21333		9606	1
P17612_P21333	P17612	P21333		9606	1
P21333_Q08209	Q08209	P21333		9606	1
P35462_P49841	P49841	P35462	17536008	9606	1
O15126_P49674	P49674	O15126	9658162	9606	1
P06213_P29350	P29350	P06213		9606	1
P06213_P35568	P06213	P35568	18083107	9606	1
P06213_P35568	P06213	P35568		9606	1
P06213_P35568	P06213	P35568	19534553	9606	1
P06213_Q05397	P06213	Q05397		9606	1
P06213_Q06124	P06213	Q06124		9606	1
P06213_P27986	P06213	P27986	11337495	9606	1
P06213_P27986	P06213	P27986	9461588	9606	1
P06213_P08069	P06213	P08069		9606	1
P06213_P29353	P06213	P29353		9606	1
P06213_P17706	P17706	P06213		9606	1
P06213_P53004	P06213	P53004	15870194	9606	1
P06213_P53004	P06213	P53004	17639074	9606	1
P02671_P06213	P06213	P02671	1956339	9606	1
P02671_P06213	P06213	P02671	N.N.	9606	1
P02671_P06213	P06213	P02671	6255944	9606	1
P06213_Q13017	P06213	Q13017		9606	1
P06213_Q12913	Q12913	P06213		9606	1
P06213_P46108	P06213	P46108		9606	1
P06213_P35232	P06213	P35232		9606	1
P06213_Q99704	P06213	Q99704	15592455	9606	1
P06213_Q99704	P06213	Q99704	11551902	9606	1
P06213_Q99704	P06213	Q99704	12087092	9606	1
P06213_Q99704	P06213	Q99704	16094384	9606	1
P06213_Q99704	P06213	Q99704	10688886	9606	1
P06213_Q99704	P06213	Q99704	9008160	9606	1
P06213_Q99704	P06213	Q99704	19690332	9606	1
P06213_Q99704	P06213	Q99704	15574499	9606	1
P06213_Q13480	P06213	Q13480	10978177	9606	1
P06213_Q13480	P06213	Q13480		9606	1
P06213_Q92569	P06213	Q92569		9606	1
P06213_P62158	P06213	P62158	1956339	9606	1
P06213_P17252	P17252	P06213		9606	1
P06213_P17252	P17252	P06213	2110001	9606	1
P06213_P17252	P17252	P06213	7926007	9606	1
P06213_P17252	P17252	P06213	1321605	9606	1
P06213_P17252	P17252	P06213	9506989	9606	1
P06213_P17252	P17252	P06213	8393870	9606	1
O15530_P06213	P06213	O15530	14585963	9606	1
O15530_P06213	P06213	O15530	16314505	9606	1
O15530_P06213	P06213	O15530	11481331	9606	1
P06213_P22681	P06213	P22681		9606	1
P06213_P22681	P06213	P22681	15951569	9606	1
P06213_P22681	P06213	P22681	11997497	9606	1
P06213_P22681	P06213	P22681	15922744	9606	1
P06213_P22681	P06213	P22681	12604776	9606	1
P06213_P22681	P06213	P22681	10934191	9606	1
P06213_Q05209	Q05209	P06213		9606	1
P06213_P18031	P18031	P06213		9606	1
P06213_P18031	P06213	P18031	11106648	9606	1
P06213_P18031	P06213	P18031	8491187	9606	1
P06213_P23467	P23467	P06213		9606	1
P06213_P10586	P10586	P06213		9606	1
P06213_Q12923	Q12923	P06213		9606	1
P06213_Q9HD43	Q9HD43	P06213		9606	1
P06213_P43378	P43378	P06213		9606	1
P06213_Q9Y4H2	P06213	Q9Y4H2		9606	1
P06213_Q9Y4H2	P06213	Q9Y4H2	19534553	9606	1
P06213_Q9Y4H2	P06213	Q9Y4H2	18083107	9606	1
P30530_Q07954	P30530	Q07954	12069755	9606	1
P12931_Q07954	P12931	Q07954		9606	1
P12931_Q07954	P12931	Q07954	12789267	9606	1
P12931_Q07954	P12931	Q07954	11158305	9606	1
P17252_Q07954	P17252	Q07954		9606	1
P17612_Q07954	P17612	Q07954		9606	1
O15111_Q92793	O15111	Q92793	17434128	9606	1
O15111_P42345	O15111	P42345		9606	1
O15111_P35568	O15111	P35568		9606	1
O15111_P25963	O15111	P25963	10329681	9606	1
O15111_P25963	O15111	P25963	10882136	9606	1
O15111_P03372	O15111	P03372		9606	1
O15111_P12931	P12931	O15111	10485710	9606	1
O15111_P35222	O15111	P35222		9606	1
O15111_Q9Y618	O15111	Q9Y618		9606	1
O15111_Q9Y618	O15111	Q9Y618	15494311	9606	1
O15111_Q04864	O15111	Q04864		9606	1
O15111_Q9Y261	O15111	Q9Y261		9606	1
O15111_P24385	O15111	P24385	16103118	9606	1
O15111_P24385	O15111	P24385	8058338	9606	1
O15111_Q15717	O15111	Q15717		9606	1
O15111_Q9Y243	Q9Y243	O15111		9606	1
O15111_Q99558	O15111	Q99558		9606	1
O15111_Q99558	Q99558	O15111	9520446	9606	1
O15111_Q99558	Q99558	O15111		9606	1
O15111_P19838	O15111	P19838	11158290	9606	1
O15111_P19838	O15111	P19838	10469655	9606	1
O15111_P19838	O15111	P19838	12482991	9606	1
O15111_P19838	O15111	P19838		9606	1
O15111_P19838	O15111	P19838	8522173	9606	1
O15111_Q9BUZ4	O15111	Q9BUZ4		9606	1
O15111_Q9NQC7	O15111	Q9NQC7		9606	1
O15111_O43524	O15111	O43524		9606	1
O15111_Q01201	O15111	Q01201		9606	1
O14920_O15111	O15111	O14920		9606	1
O15111_Q86VP1	O15111	Q86VP1	21765415	9606	1
O15111_Q86VP1	O15111	Q86VP1		9606	1
O15111_P20700	O15111	P20700	2188730	9606	1
O15111_P84243	O15111	P84243		9606	1
O00141_O15111	O00141	O15111	19088076	9606	1
O15111_Q00653	O15111	Q00653		9606	1
O15111_Q00653	O15111	Q00653	15310758	9606	1
O15111_P20333	O15111	P20333	9535738	9606	1
O15111_P20020	O15111	P20020	2548572	9606	1
P19174_P30530	P30530	P19174		9606	1
P30530_P30531	P30530	P30531	11555659	9606	1
P12931_P19022	P12931	P19022	16371504	9606	1
P12931_P19022	P12931	P19022		9606	1
P12931_P52565	P12931	P52565		9606	1
P52565_Q13153	Q13153	P52565	15225553	9606	1
P17252_P52565	P17252	P52565		9606	1
P17612_P52565	P17612	P52565		9606	1
P06239_P29350	P06239	P29350		9606	1
P06239_Q04759	P06239	Q04759	11772397	9606	1
P06239_P15498	P06239	P15498	16285729	9606	1
P06239_P15498	P06239	P15498	10669745	9606	1
P06239_P15498	P06239	P15498	898671	9606	1
P06239_P29353	P06239	P29353		9606	1
P06239_P15311	P06239	P15311	14504278	9606	1
P06239_P27361	P27361	P06239	8226850	9606	1
P06239_P27361	P27361	P06239	8506364	9606	1
P06239_P27361	P06239	P27361		9606	1
P06239_P27361	P27361	P06239		9606	1
P06239_P16885	P06239	P16885	12181444	9606	1
P06239_P16885	P06239	P16885	11606584	9606	1
P06239_P16885	P06239	P16885	15184383	9606	1
P06239_P42229	P06239	P42229		9606	1
P06239_Q96LC7	P06239	Q96LC7	11733002	9606	1
P06239_Q9UQF2	P06239	Q9UQF2	12756254	9606	1
P06239_Q9UQF2	P06239	Q9UQF2	16195223	9606	1
P06127_P06239	P06239	P06127	11751967	9606	1
P06239_P28482	P28482	P06239	8226850	9606	1
P06239_P28482	P28482	P06239	8506364	9606	1
P06239_P28482	P28482	P06239		9606	1
P06239_P28482	P28482	P06239	8262984	9606	1
P06239_P20138	P06239	P20138	10887109	9606	1
P06239_P60484	P06239	P60484	11948419	9606	1
P06239_P60484	P06239	P60484	12297295	9606	1
P06239_P60484	P06239	P60484	10866658	9606	1
P06239_P60484	P06239	P60484	12077256	9606	1
P06239_Q9BZS1	P06239	Q9BZS1		9606	1
P06239_Q06830	P06239	Q06830		9606	1
P06239_P42768	P06239	P42768		9606	1
P06239_Q13813	P06239	Q13813	11971983	9606	1
P06239_Q99704	P06239	Q99704		9606	1
P06239_Q05469	P06239	Q05469	9417067	9606	1
P06239_Q05469	P06239	Q05469	3345839	9606	1
P06239_Q05469	P06239	Q05469	16188906	9606	1
P06239_Q05469	P06239	Q05469	2537200	9606	1
P06239_Q05469	P06239	Q05469	15033481	9606	1
P06239_Q05469	P06239	Q05469	15308678	9606	1
P06239_P20963	P06239	P20963		9606	1
O43561_P06239	P06239	O43561		9606	1
P06239_Q13094	P06239	Q13094	8702662	9606	1
P06239_Q13094	P06239	Q13094		9606	1
P06239_P16284	P06239	P16284		9606	1
P06239_Q13283	P06239	Q13283		9606	1
P06239_P52735	P06239	P52735	12454019	9606	1
P06239_P14784	P06239	P14784	2047859	9606	1
P06239_P14784	P06239	P14784	10214954	9606	1
P06239_P14784	P06239	P14784	7499411	9606	1
P06239_P14784	P06239	P14784	8643566	9606	1
P06239_Q13291	P06239	Q13291	11806999	9606	1
P06239_Q9BWW4	P06239	Q9BWW4		9606	1
O14746_P06239	P06239	O14746	10224060	9606	1
P06239_P15531	P06239	P15531	8810265	9606	1
P06239_P15531	P06239	P15531	8245015	9606	1
P06239_Q05655	P06239	Q05655		9606	1
P06239_Q12809	P06239	Q12809	11953308	9606	1
P06239_Q12809	P06239	Q12809	10837251	9606	1
P06239_P43403	P06239	P43403	11270871	9606	1
P06239_P43403	P06239	P43403	7642520	9606	1
P06239_P43403	P06239	P43403	8756661	9606	1
