pair_id	id_a	id_b	pair_id_clean	id_a_clean	id_b_clean	taxid_a	taxid_b	pubid
Q12955_Q9H310	Q12955	Q9H310	Q12955_Q9H310	Q12955	Q9H310	9606	9606	15611082
Q8IVH2_Q9H334	Q8IVH2	Q9H334	Q8IVH2_Q9H334	Q8IVH2	Q9H334	9606	9606	25027557
O15409_Q9H334	O15409	Q9H334	O15409_Q9H334	O15409	Q9H334	9606	9606	25027557
O14965_Q9H334	O14965	Q9H334	O14965_Q9H334	O14965	Q9H334	9606	9606	28218735
O15409_Q9H334	O15409	Q9H334	O15409_Q9H334	O15409	Q9H334	9606	9606	26647308
Q16650_Q9H334	Q16650	Q9H334	Q16650_Q9H334	Q16650	Q9H334	9606	9606	30250039
P10275_Q9H334	P10275	Q9H334	P10275_Q9H334	P10275	Q9H334	9606	9606	18640093
Q86XA0_Q9NYU1	Q86XA0	Q9NYU1	Q86XA0_Q9NYU1	Q86XA0	Q9NYU1	9606	9606	23349634
Q03135_Q9NZN4	Q03135	Q9NZN4	Q03135_Q9NZN4	Q03135	Q9NZN4	9606	9606	25588833
Q9NZN4_Q9NZN4	Q9NZN4	Q9NZN4	Q9NZN4_Q9NZN4	Q9NZN4	Q9NZN4	9606	9606	17233914
Q9H4M9_Q9NZN4	Q9H4M9	Q9NZN4	Q9H4M9_Q9NZN4	Q9H4M9	Q9NZN4	9606	9606	17233914
Q9H223_Q9NZN4	Q9H223	Q9NZN4	Q9H223_Q9NZN4	Q9H223	Q9NZN4	9606	9606	17233914
Q9NZN3_Q9NZN4	Q9NZN3	Q9NZN4	Q9NZN3_Q9NZN4	Q9NZN3	Q9NZN4	9606	9606	17233914
O43561_P19174	P19174	O43561	O43561_P19174	P19174	O43561	9606	9606	14722116
O43561_P43403	P43403	O43561	O43561_P43403	P43403	O43561	9606	9606	12646565
O43561_Q08881	Q08881	O43561	O43561_Q08881	Q08881	O43561	9606	9606	12186560
O43561_P15498	P15498	O43561	O43561_P15498	P15498	O43561	9606	9606	12186560
O75081_Q16665	Q16665	O75081	O75081_Q16665	Q16665	O75081	9606	9606	25974097
O75081_Q9GZT9	Q9GZT9	O75081	O75081_Q9GZT9	Q9GZT9	O75081	9606	9606	25974097
O75081_Q8NAP3	Q8NAP3	O75081	O75081_Q8NAP3	Q8NAP3	O75081	9606	9606	23251453
O75081_Q86T24	Q86T24	O75081	O75081_Q86T24	Q86T24	O75081	9606	9606	23251453
