ida	idb	pair_id	ida_clean	idb_clean	pair_id_clean	pubid	GO_IPI
A0A0H2UN91	A0A0H2URZ0	A0A0H2UN91_A0A0H2URZ0	A0A0H2UN91	A0A0H2URZ0	A0A0H2UN91_A0A0H2URZ0	23267104	1
A0A0H2UNC2	A0A0H2UNU9	A0A0H2UNC2_A0A0H2UNU9	A0A0H2UNC2	A0A0H2UNU9	A0A0H2UNC2_A0A0H2UNU9	23267104	1
A0A0H2UNE9	Q97T03	A0A0H2UNE9_Q97T03	A0A0H2UNE9	Q97T03	A0A0H2UNE9_Q97T03	23267104	1
A0A0H2UNG1	A0A0H2UPV5	A0A0H2UNG1_A0A0H2UPV5	A0A0H2UNG1	A0A0H2UPV5	A0A0H2UNG1_A0A0H2UPV5	23267104	1
A0A0H2UNG3	A0A0H2UNW4	A0A0H2UNG3_A0A0H2UNW4	A0A0H2UNG3	A0A0H2UNW4	A0A0H2UNG3_A0A0H2UNW4	23267104	1
A0A0H2UNI9	Q97TA2	A0A0H2UNI9_Q97TA2	A0A0H2UNI9	Q97TA2	A0A0H2UNI9_Q97TA2	23267104	1
A0A0H2UNJ6	A0A0H2URR7	A0A0H2UNJ6_A0A0H2URR7	A0A0H2UNJ6	A0A0H2URR7	A0A0H2UNJ6_A0A0H2URR7	23267104	1
A0A0H2UNJ7	A0A0H2UPA7	A0A0H2UNJ7_A0A0H2UPA7	A0A0H2UNJ7	A0A0H2UPA7	A0A0H2UNJ7_A0A0H2UPA7	23267104	1
A0A0H2UNK2	Q8KY51	A0A0H2UNK2_Q8KY51	A0A0H2UNK2	Q8KY51	A0A0H2UNK2_Q8KY51	19040630	1
A0A0H2UNK7	A0A0H2US22	A0A0H2UNK7_A0A0H2US22	A0A0H2UNK7	A0A0H2US22	A0A0H2UNK7_A0A0H2US22	23267104	1
A0A0H2UNL0	E7DN98	A0A0H2UNL0_E7DN98	A0A0H2UNL0	E7DN98	A0A0H2UNL0_E7DN98	27103053	1
A0A0H2UNL0	E7DNA8	A0A0H2UNL0_E7DNA8	A0A0H2UNL0	E7DNA8	A0A0H2UNL0_E7DNA8	27103053	1
A0A0H2UNM1	A0A0H2UMW1	A0A0H2UMW1_A0A0H2UNM1	A0A0H2UNM1	A0A0H2UMW1	A0A0H2UMW1_A0A0H2UNM1	23267104	1
A0A0H2UNP1	Q97NV3	A0A0H2UNP1_Q97NV3	A0A0H2UNP1	Q97NV3	A0A0H2UNP1_Q97NV3	19098921	1
A0A0H2UNP1	Q97Q68	A0A0H2UNP1_Q97Q68	A0A0H2UNP1	Q97Q68	A0A0H2UNP1_Q97Q68	19098921	1
A0A0H2UNP1	Q97SE5	A0A0H2UNP1_Q97SE5	A0A0H2UNP1	Q97SE5	A0A0H2UNP1_Q97SE5	19098921	1
A0A0H2UNP1	Q97SR4	A0A0H2UNP1_Q97SR4	A0A0H2UNP1	Q97SR4	A0A0H2UNP1_Q97SR4	19098921	1
A0A0H2UNP1	A0A0H2UNP1	A0A0H2UNP1_A0A0H2UNP1	A0A0H2UNP1	A0A0H2UNP1	A0A0H2UNP1_A0A0H2UNP1	19098921	1
A0A0H2UNS2	Q97PM1	A0A0H2UNS2_Q97PM1	A0A0H2UNS2	Q97PM1	A0A0H2UNS2_Q97PM1	23267104	1
A0A0H2UNU9	A0A0H2UNC2	A0A0H2UNC2_A0A0H2UNU9	A0A0H2UNU9	A0A0H2UNC2	A0A0H2UNC2_A0A0H2UNU9	23267104	1
A0A0H2UNW3	A0A0H2UQB7	A0A0H2UNW3_A0A0H2UQB7	A0A0H2UNW3	A0A0H2UQB7	A0A0H2UNW3_A0A0H2UQB7	23267104	1
A0A0H2UNW4	A0A0H2UNG3	A0A0H2UNG3_A0A0H2UNW4	A0A0H2UNW4	A0A0H2UNG3	A0A0H2UNG3_A0A0H2UNW4	23267104	1
A0A0H2UNW5	A0A0H2UQD6	A0A0H2UNW5_A0A0H2UQD6	A0A0H2UNW5	A0A0H2UQD6	A0A0H2UNW5_A0A0H2UQD6	23267104	1
A0A0H2UNY0	A0A0H2UMT9	A0A0H2UMT9_A0A0H2UNY0	A0A0H2UNY0	A0A0H2UMT9	A0A0H2UMT9_A0A0H2UNY0	23267104	1
A0A0H2UP05	A0A0H2UQX6	A0A0H2UP05_A0A0H2UQX6	A0A0H2UP05	A0A0H2UQX6	A0A0H2UP05_A0A0H2UQX6	23267104	1
A0A0H2UP25	A0A0H2UQL5	A0A0H2UP25_A0A0H2UQL5	A0A0H2UP25	A0A0H2UQL5	A0A0H2UP25_A0A0H2UQL5	23267104	1
A0A0H2UP48	E7DNB1	A0A0H2UP48_E7DNB1	A0A0H2UP48	E7DNB1	A0A0H2UP48_E7DNB1	27103053	1
A0A0H2UP74	A0A0H2UQI3	A0A0H2UP74_A0A0H2UQI3	A0A0H2UP74	A0A0H2UQI3	A0A0H2UP74_A0A0H2UQI3	23267104	1
A0A0H2UP89	A0A0H2URQ2	A0A0H2UP89_A0A0H2URQ2	A0A0H2UP89	A0A0H2URQ2	A0A0H2UP89_A0A0H2URQ2	23267104	1
A0A0H2UPA1	P65582	A0A0H2UPA1_P65582	A0A0H2UPA1	P65582	A0A0H2UPA1_P65582	23267104	1
